Trial,Seed,Policy,Orbital_Phase_Radians,Simulation_Days_Since_J2000,Earth_X_km,Earth_Y_km,Earth_Z_km,Mars_X_km,Mars_Y_km,Mars_Z_km,Relay0_X_km,Relay0_Y_km,Relay0_Z_km,Relay1_X_km,Relay1_Y_km,Relay1_Z_km,Relay2_X_km,Relay2_Y_km,Relay2_Z_km,Earth_Mars_Distance_Meters,Optical_Degradation_Factor,Relay_0_Online,Relay_1_Online,Relay_2_Online,Contact_Realization_Probability,Generated_Packets,PAT_Delay_Seconds,First_Packet_Release_s,Last_Packet_Release_s,Direct_Available,Relay0_Route_Available,Relay1_Route_Available,Relay2_Route_Available,Available_Route_Count,Relay0_Earth_Hop_Distance_m,Relay0_Mars_Hop_Distance_m,Relay1_Earth_Hop_Distance_m,Relay1_Mars_Hop_Distance_m,Relay2_Earth_Hop_Distance_m,Relay2_Mars_Hop_Distance_m,Direct_Total_Route_Distance_m,Relay0_Total_Route_Distance_m,Relay1_Total_Route_Distance_m,Relay2_Total_Route_Distance_m,Direct_Propagation_Delay_s,Relay0_Propagation_Delay_s,Relay1_Propagation_Delay_s,Relay2_Propagation_Delay_s,Direct_Hop_Count,Relay0_Hop_Count,Relay1_Hop_Count,Relay2_Hop_Count,Direct_Route_Contact_Probability,Relay0_Route_Contact_Probability,Relay1_Route_Contact_Probability,Relay2_Route_Contact_Probability,Direct_PAT_Cost_s,Relay0_PAT_Cost_s,Relay1_PAT_Cost_s,Relay2_PAT_Cost_s,Direct_Hop1_Optical_Quality,Relay0_Hop1_Optical_Quality,Relay0_Hop2_Optical_Quality,Relay1_Hop1_Optical_Quality,Relay1_Hop2_Optical_Quality,Relay2_Hop1_Optical_Quality,Relay2_Hop2_Optical_Quality,Direct_Predicted_Optical_Quality,Relay0_Predicted_Optical_Quality,Relay1_Predicted_Optical_Quality,Relay2_Predicted_Optical_Quality,Direct_Link_Stability,Relay0_Link_Stability,Relay1_Link_Stability,Relay2_Link_Stability,Direct_Contact_Available,Relay0_Contact_Available,Relay1_Contact_Available,Relay2_Contact_Available,Selected_Route_Index,Selected_Route_Name,Selected_Route_Score,Direct_Policy_Score,Relay0_Policy_Score,Relay1_Policy_Score,Relay2_Policy_Score,Selected_Propagation_Delay_s,Selected_PAT_Cost_s,Selected_Optical_Quality,Selected_Link_Stability,Phase8_Packet_Index,Phase8_Packet_Release_s,Phase8_Packet_Size_bits,Phase8_Data_Rate_bps,Phase8_Transmission_Time_Per_Hop_s,Phase8_Total_Transmission_Time_s,Phase8_PAT_Time_s,Phase8_Propagation_Time_s,Phase8_End_To_End_Latency_s,Phase8_Arrival_Time_s,Phase8_TTL_s,Phase8_Deadline_s,Phase8_Outcome,Phase8_Delivered,Phase8_Expired,Phase8_Dropped,Phase9_Generated_Packets,Phase9_Delivered_Packets,Phase9_Expired_Packets,Phase9_Dropped_Packets,Phase9_Contact_Failure_Drops,Phase9_No_Route_Drops,Phase9_Route_Unavailable_Drops,Phase9_Invalid_State_Drops,Phase9_Reliability,Phase9_Delivered_Bits,Phase9_Delivered_Throughput_bps,Phase9_Mean_Delivered_Latency_s,Phase9_Median_Delivered_Latency_s,Phase9_P95_Delivered_Latency_s,Phase9_Total_PAT_Burden_s,Phase9_Mean_PAT_Per_Generated_Packet_s,Phase9_Direct_Selection_Count,Phase9_Relay0_Selection_Count,Phase9_Relay1_Selection_Count,Phase9_Relay2_Selection_Count,Phase9_No_Route_Selection_Count,Phase9_Route_Switch_Count
1,100000,B1,5.9027199807436777,732.71234202191249,-32143376.716084719,143543600.41521862,-689.02944175583059,189498998.91369951,98315108.173723087,-2597240.0887667672,148600708.5595623,161359867.94290271,-1763971.9862087066,206668899.76862699,24695845.733096544,20230796.037959475,190386579.83923283,98775599.338357061,-2609405.1174742258,226224890899.86777,0.91535498130280457,1,0,1,0.85134381764986822,200,60,23893.098475684965,6148.1591069478836,1,1,0,1,3,181628612606.97336,75153218320.811935,267517111940.19858,78966578570.133102,227003438045.67664,1000000000.0000001,226224890899.86777,256781830927.78528,346483690510.33167,228003438045.67664,754.58602701757093,856.51044338820975,1155.7161124427341,760.51847246723366,1,2,2,2,0.85134381764986822,0.72478629585065202,0.72478629585065202,0.72478629585065202,60,120,120,120,0.053320481161427465,0.082719195813283006,0.48314742368322977,0.038130429767926896,0.43761096130956822,0.052955364917800465,1,0.053320481161427465,0.082719195813283006,0.038130429767926896,0.052955364917800465,0.045394061990897537,0.059953739529254153,0,0.038381322784192165,1,1,0,1,0,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0.72478629585065202,-1,0.72478629585065202,754.58602701757093,60,0.053320481161427465,0.045394061990897537,0,23893.098475684965,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,24707.684584622537,1500,25393.098475684965,DELIVERED_MECHANICALLY,1,0,0,200,166,0,34,34,0,0,0,0.82999999999999996,1359872,31.47851851851852,814.58610893756918,814.58610893757088,814.58610893757088,12000,60,200,0,0,0,0,0
1,100000,B2,5.9027199807436777,732.71234202191249,-32143376.716084719,143543600.41521862,-689.02944175583059,189498998.91369951,98315108.173723087,-2597240.0887667672,148600708.5595623,161359867.94290271,-1763971.9862087066,206668899.76862699,24695845.733096544,20230796.037959475,190386579.83923283,98775599.338357061,-2609405.1174742258,226224890899.86777,0.91535498130280457,1,0,1,0.85134381764986822,200,60,23893.098475684965,6148.1591069478836,1,1,0,1,3,181628612606.97336,75153218320.811935,267517111940.19858,78966578570.133102,227003438045.67664,1000000000.0000001,226224890899.86777,256781830927.78528,346483690510.33167,228003438045.67664,754.58602701757093,856.51044338820975,1155.7161124427341,760.51847246723366,1,2,2,2,0.85134381764986822,0.72478629585065202,0.72478629585065202,0.72478629585065202,60,120,120,120,0.053320481161427465,0.082719195813283006,0.48314742368322977,0.038130429767926896,0.43761096130956822,0.052955364917800465,1,0.053320481161427465,0.082719195813283006,0.038130429767926896,0.052955364917800465,0.045394061990897537,0.059953739529254153,0,0.038381322784192165,1,1,0,1,0,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0.36239314792532601,-1,0.36239314792532601,754.58602701757093,60,0.053320481161427465,0.045394061990897537,0,23893.098475684965,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,24707.684584622537,1500,25393.098475684965,DELIVERED_MECHANICALLY,1,0,0,200,166,0,34,34,0,0,0,0.82999999999999996,1359872,31.47851851851852,814.58610893756918,814.58610893757088,814.58610893757088,12000,60,200,0,0,0,0,0
1,100000,B3,5.9027199807436777,732.71234202191249,-32143376.716084719,143543600.41521862,-689.02944175583059,189498998.91369951,98315108.173723087,-2597240.0887667672,148600708.5595623,161359867.94290271,-1763971.9862087066,206668899.76862699,24695845.733096544,20230796.037959475,190386579.83923283,98775599.338357061,-2609405.1174742258,226224890899.86777,0.91535498130280457,1,0,1,0.85134381764986822,200,60,23893.098475684965,6148.1591069478836,1,1,0,1,3,181628612606.97336,75153218320.811935,267517111940.19858,78966578570.133102,227003438045.67664,1000000000.0000001,226224890899.86777,256781830927.78528,346483690510.33167,228003438045.67664,754.58602701757093,856.51044338820975,1155.7161124427341,760.51847246723366,1,2,2,2,0.85134381764986822,0.72478629585065202,0.72478629585065202,0.72478629585065202,60,120,120,120,0.053320481161427465,0.082719195813283006,0.48314742368322977,0.038130429767926896,0.43761096130956822,0.052955364917800465,1,0.053320481161427465,0.082719195813283006,0.038130429767926896,0.052955364917800465,0.045394061990897537,0.059953739529254153,0,0.038381322784192165,1,1,0,1,0,Direct_Earth_to_Mars,0.045394061990897537,0.045394061990897537,0.029976869764627077,-1,0.019190661392096083,754.58602701757093,60,0.053320481161427465,0.045394061990897537,0,23893.098475684965,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,24707.684584622537,1500,25393.098475684965,DELIVERED_MECHANICALLY,1,0,0,200,166,0,34,34,0,0,0,0.82999999999999996,1359872,31.47851851851852,814.58610893756918,814.58610893757088,814.58610893757088,12000,60,200,0,0,0,0,0
1,100000,B4,5.9027199807436777,732.71234202191249,-32143376.716084719,143543600.41521862,-689.02944175583059,189498998.91369951,98315108.173723087,-2597240.0887667672,148600708.5595623,161359867.94290271,-1763971.9862087066,206668899.76862699,24695845.733096544,20230796.037959475,190386579.83923283,98775599.338357061,-2609405.1174742258,226224890899.86777,0.91535498130280457,1,0,1,0.85134381764986822,200,60,23893.098475684965,6148.1591069478836,1,1,0,1,3,181628612606.97336,75153218320.811935,267517111940.19858,78966578570.133102,227003438045.67664,1000000000.0000001,226224890899.86777,256781830927.78528,346483690510.33167,228003438045.67664,754.58602701757093,856.51044338820975,1155.7161124427341,760.51847246723366,1,2,2,2,0.85134381764986822,0.72478629585065202,0.72478629585065202,0.72478629585065202,60,120,120,120,0.053320481161427465,0.082719195813283006,0.48314742368322977,0.038130429767926896,0.43761096130956822,0.052955364917800465,1,0.053320481161427465,0.082719195813283006,0.038130429767926896,0.052955364917800465,0.045394061990897537,0.059953739529254153,0,0.038381322784192165,1,1,0,1,0,Direct_Earth_to_Mars,0.045394061990897537,0.045394061990897537,0.026409633685996536,-1,0.019040964105346135,754.58602701757093,60,0.053320481161427465,0.045394061990897537,0,23893.098475684965,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,24707.684584622537,1500,25393.098475684965,DELIVERED_MECHANICALLY,1,0,0,200,166,0,34,34,0,0,0,0.82999999999999996,1359872,31.47851851851852,814.58610893756918,814.58610893757088,814.58610893757088,12000,60,200,0,0,0,0,0
2,100001,B1,1.6078415250924314,199.58346885737467,68341082.339569435,-135796761.22789192,203.95785050912508,-75767952.714867294,228792405.16282591,6654975.3379159616,-133597338.52719516,200027284.50273725,48557434.949170023,-6809090.3556255596,234386006.1643149,-22517186.846809044,-76082207.226239398,229741342.58179864,6682577.456596408,392093050456.03699,0.93381665290172622,1,0,1,0.80392646849118699,200,60,7665.3823099149768,2571.11996556039,1,1,0,1,3,394860380634.21185,76990169187.327438,378404363900.47095,75084140246.636673,393091396524.23114,999999999.99999845,392093050456.03699,471850549821.53931,453488504147.1076,394091396524.23114,1307.848734009463,1573.8844223533665,1512.6367716714731,1314.5143313016383,1,2,2,2,0.80392646849118699,0.64629776674071149,0.64629776674071149,0.64629776674071149,60,120,120,120,0.018107921797430114,0.017854996946343633,0.46965219012163828,0.019441717465525889,0.49379930626835683,0.018016060128091073,1,0.018107921797430114,0.017854996946343633,0.019441717465525889,0.018016060128091073,0.014557437622322578,0.011539644651584113,0,0.011643739426251637,1,1,0,1,0,Direct_Earth_to_Mars,0.80392646849118699,0.80392646849118699,0.64629776674071149,-1,0.64629776674071149,1307.848734009463,60,0.018107921797430114,0.014557437622322578,0,7665.3823099149768,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,1307.848734009463,1367.8488159294629,9033.2311258444388,1500,9165.3823099149777,DELIVERED_MECHANICALLY,1,0,0,200,162,0,38,38,0,0,0,0.81000000000000005,1327104,30.719999999999999,1367.8488159294645,1367.8488159294629,1367.8488159294629,12000,60,200,0,0,0,0,0
2,100001,B2,1.6078415250924314,199.58346885737467,68341082.339569435,-135796761.22789192,203.95785050912508,-75767952.714867294,228792405.16282591,6654975.3379159616,-133597338.52719516,200027284.50273725,48557434.949170023,-6809090.3556255596,234386006.1643149,-22517186.846809044,-76082207.226239398,229741342.58179864,6682577.456596408,392093050456.03699,0.93381665290172622,1,0,1,0.80392646849118699,200,60,7665.3823099149768,2571.11996556039,1,1,0,1,3,394860380634.21185,76990169187.327438,378404363900.47095,75084140246.636673,393091396524.23114,999999999.99999845,392093050456.03699,471850549821.53931,453488504147.1076,394091396524.23114,1307.848734009463,1573.8844223533665,1512.6367716714731,1314.5143313016383,1,2,2,2,0.80392646849118699,0.64629776674071149,0.64629776674071149,0.64629776674071149,60,120,120,120,0.018107921797430114,0.017854996946343633,0.46965219012163828,0.019441717465525889,0.49379930626835683,0.018016060128091073,1,0.018107921797430114,0.017854996946343633,0.019441717465525889,0.018016060128091073,0.014557437622322578,0.011539644651584113,0,0.011643739426251637,1,1,0,1,0,Direct_Earth_to_Mars,0.80392646849118699,0.80392646849118699,0.32314888337035574,-1,0.32314888337035574,1307.848734009463,60,0.018107921797430114,0.014557437622322578,0,7665.3823099149768,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,1307.848734009463,1367.8488159294629,9033.2311258444388,1500,9165.3823099149777,DELIVERED_MECHANICALLY,1,0,0,200,162,0,38,38,0,0,0,0.81000000000000005,1327104,30.719999999999999,1367.8488159294645,1367.8488159294629,1367.8488159294629,12000,60,200,0,0,0,0,0
2,100001,B3,1.6078415250924314,199.58346885737467,68341082.339569435,-135796761.22789192,203.95785050912508,-75767952.714867294,228792405.16282591,6654975.3379159616,-133597338.52719516,200027284.50273725,48557434.949170023,-6809090.3556255596,234386006.1643149,-22517186.846809044,-76082207.226239398,229741342.58179864,6682577.456596408,392093050456.03699,0.93381665290172622,1,0,1,0.80392646849118699,200,60,7665.3823099149768,2571.11996556039,1,1,0,1,3,394860380634.21185,76990169187.327438,378404363900.47095,75084140246.636673,393091396524.23114,999999999.99999845,392093050456.03699,471850549821.53931,453488504147.1076,394091396524.23114,1307.848734009463,1573.8844223533665,1512.6367716714731,1314.5143313016383,1,2,2,2,0.80392646849118699,0.64629776674071149,0.64629776674071149,0.64629776674071149,60,120,120,120,0.018107921797430114,0.017854996946343633,0.46965219012163828,0.019441717465525889,0.49379930626835683,0.018016060128091073,1,0.018107921797430114,0.017854996946343633,0.019441717465525889,0.018016060128091073,0.014557437622322578,0.011539644651584113,0,0.011643739426251637,1,1,0,1,0,Direct_Earth_to_Mars,0.014557437622322578,0.014557437622322578,0.0057698223257920565,-1,0.0058218697131258183,1307.848734009463,60,0.018107921797430114,0.014557437622322578,0,7665.3823099149768,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,1307.848734009463,1367.8488159294629,9033.2311258444388,1500,9165.3823099149777,DELIVERED_MECHANICALLY,1,0,0,200,162,0,38,38,0,0,0,0.81000000000000005,1327104,30.719999999999999,1367.8488159294645,1367.8488159294629,1367.8488159294629,12000,60,200,0,0,0,0,0
2,100001,B4,1.6078415250924314,199.58346885737467,68341082.339569435,-135796761.22789192,203.95785050912508,-75767952.714867294,228792405.16282591,6654975.3379159616,-133597338.52719516,200027284.50273725,48557434.949170023,-6809090.3556255596,234386006.1643149,-22517186.846809044,-76082207.226239398,229741342.58179864,6682577.456596408,392093050456.03699,0.93381665290172622,1,0,1,0.80392646849118699,200,60,7665.3823099149768,2571.11996556039,1,1,0,1,3,394860380634.21185,76990169187.327438,378404363900.47095,75084140246.636673,393091396524.23114,999999999.99999845,392093050456.03699,471850549821.53931,453488504147.1076,394091396524.23114,1307.848734009463,1573.8844223533665,1512.6367716714731,1314.5143313016383,1,2,2,2,0.80392646849118699,0.64629776674071149,0.64629776674071149,0.64629776674071149,60,120,120,120,0.018107921797430114,0.017854996946343633,0.46965219012163828,0.019441717465525889,0.49379930626835683,0.018016060128091073,1,0.018107921797430114,0.017854996946343633,0.019441717465525889,0.018016060128091073,0.014557437622322578,0.011539644651584113,0,0.011643739426251637,1,1,0,1,0,Direct_Earth_to_Mars,0.014557437622322578,0.014557437622322578,0.0047945419098585152,-1,0.0057923483621057934,1307.848734009463,60,0.018107921797430114,0.014557437622322578,0,7665.3823099149768,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,1307.848734009463,1367.8488159294629,9033.2311258444388,1500,9165.3823099149777,DELIVERED_MECHANICALLY,1,0,0,200,162,0,38,38,0,0,0,0.81000000000000005,1327104,30.719999999999999,1367.8488159294645,1367.8488159294629,1367.8488159294629,12000,60,200,0,0,0,0,0
3,100002,B1,0.66808287704080471,82.930000253820651,-148793188.28017545,-10638401.168511849,8.3006868995257239,144525804.9448871,165736549.76267827,-80313.902109963412,87433603.400344446,208476779.49346966,14411940.511607964,186359094.35050181,104544595.95423317,10600704.497859823,145183037.06707403,166490237.89723668,-80679.130148962911,342263292735.57843,0.92420181873497187,1,1,1,0.90690630166538877,200,60,9773.9532189422971,9514.3494179550216,1,1,1,1,4,322524825857.26129,72775491428.33342,354551195370.42371,74890342951.873886,343215067205.9176,999999999.99999499,342263292735.57843,395300317285.59473,429441538322.29761,344215067205.9176,1141.6387349418894,1318.5467554556194,1432.426745571373,1148.1489900130673,1,2,2,2,0.90690630166538877,0.82247904000039318,0.82247904000039318,0.82247904000039318,60,120,120,120,0.023519682563651931,0.026486575149264883,0.52021373043848607,0.021917660542765994,0.49124762694233726,0.02338941791694877,1,0.023519682563651931,0.026486575149264883,0.021917660542765994,0.02338941791694877,0.021330148330145501,0.021784652901665653,0.018026816402268671,0.01923730599450002,1,1,1,1,0,Direct_Earth_to_Mars,0.90690630166538877,0.90690630166538877,0.82247904000039318,0.82247904000039318,0.82247904000039318,1141.6387349418894,60,0.023519682563651931,0.021330148330145501,0,9773.9532189422971,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,1141.6387349418894,1201.6388168618894,10975.592035804186,1500,11273.953218942297,DELIVERED_MECHANICALLY,1,0,0,200,177,0,23,23,0,0,0,0.88500000000000001,1449984,33.564444444444447,1201.6388168618928,1201.6388168618894,1201.6388168618894,12000,60,200,0,0,0,0,0
3,100002,B2,0.66808287704080471,82.930000253820651,-148793188.28017545,-10638401.168511849,8.3006868995257239,144525804.9448871,165736549.76267827,-80313.902109963412,87433603.400344446,208476779.49346966,14411940.511607964,186359094.35050181,104544595.95423317,10600704.497859823,145183037.06707403,166490237.89723668,-80679.130148962911,342263292735.57843,0.92420181873497187,1,1,1,0.90690630166538877,200,60,9773.9532189422971,9514.3494179550216,1,1,1,1,4,322524825857.26129,72775491428.33342,354551195370.42371,74890342951.873886,343215067205.9176,999999999.99999499,342263292735.57843,395300317285.59473,429441538322.29761,344215067205.9176,1141.6387349418894,1318.5467554556194,1432.426745571373,1148.1489900130673,1,2,2,2,0.90690630166538877,0.82247904000039318,0.82247904000039318,0.82247904000039318,60,120,120,120,0.023519682563651931,0.026486575149264883,0.52021373043848607,0.021917660542765994,0.49124762694233726,0.02338941791694877,1,0.023519682563651931,0.026486575149264883,0.021917660542765994,0.02338941791694877,0.021330148330145501,0.021784652901665653,0.018026816402268671,0.01923730599450002,1,1,1,1,0,Direct_Earth_to_Mars,0.90690630166538877,0.90690630166538877,0.41123952000019659,0.41123952000019659,0.41123952000019659,1141.6387349418894,60,0.023519682563651931,0.021330148330145501,0,9773.9532189422971,8192,100000000,8.1920000000000002e-05,8.1920000000000002e-05,60,1141.6387349418894,1201.6388168618894,10975.592035804186,1500,11273.953218942297,DELIVERED_MECHANICALLY,1,0,0,200,177,0,23,23,0,0,0,0.88500000000000001,1449984,33.564444444444447,1201.6388168618928,1201.6388168618894,1201.6388168618894,12000,60,200,0,0,0,0,0
