Trial,Seed,Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,Route_Available,Hop_Count,Total_Route_Distance_m,Bottleneck_Signal_Photons_Per_Slot,Phase12B_Probability,Log10_Symbol_Error_Upper_Bound,Log10_Route_Packet_Failure_Upper_Bound,Route_Packet_Success_Lower_Bound,Double_Precision_Saturated
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Direct_Earth_to_Mars,1,1,226224890899.86777,0.45865248254649749,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay0_Mars,1,2,256781830927.78528,0.71153454896910762,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay1_Mars,0,2,346483690510.33167,0.32799059372097256,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay2_Mars,1,2,228003438045.67664,0.45551182312426536,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Direct_Earth_to_Mars,1,1,226224890899.86777,0.45865248254649749,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay0_Mars,1,2,256781830927.78528,0.71153454896910762,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay1_Mars,0,2,346483690510.33167,0.32799059372097256,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay2_Mars,1,2,228003438045.67664,0.45551182312426536,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,1,1,226224890899.86777,0.45865248254649749,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,1,2,256781830927.78528,0.71153454896910762,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,0,2,346483690510.33167,0.32799059372097256,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,1,2,228003438045.67664,0.45551182312426536,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Direct_Earth_to_Mars,1,1,226224890899.86777,0.45865248254649749,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay0_Mars,1,2,256781830927.78528,0.71153454896910762,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay1_Mars,0,2,346483690510.33167,0.32799059372097256,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay2_Mars,1,2,228003438045.67664,0.45551182312426536,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Direct_Earth_to_Mars,1,1,226224890899.86777,0.45865248254649749,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay0_Mars,1,2,256781830927.78528,0.71153454896910762,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay1_Mars,0,2,346483690510.33167,0.32799059372097256,0,0,0,0,0
1,100000,Baseline,Baseline,10,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay2_Mars,1,2,228003438045.67664,0.45551182312426536,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Direct_Earth_to_Mars,1,1,226224890899.86777,1.1466312063662434,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay0_Mars,1,2,256781830927.78528,1.7788363724227694,3.1094217107773712e-165,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay1_Mars,0,2,346483690510.33167,0.81997648430243142,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay2_Mars,1,2,228003438045.67664,1.1387795578106634,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Direct_Earth_to_Mars,1,1,226224890899.86777,1.1466312063662434,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay0_Mars,1,2,256781830927.78528,1.7788363724227694,2.4738936618426791e-209,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay1_Mars,0,2,346483690510.33167,0.81997648430243142,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay2_Mars,1,2,228003438045.67664,1.1387795578106634,0,0,0,0,0
