Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
1,100000,B1,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,B2,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,B3,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,B4,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
10,100009,B1,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,B2,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,B3,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,B4,200,199,0,1,1,0,0.995,203776,817.3031980565836
100,100099,B1,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,B2,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,B3,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,B4,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
11,100010,B1,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,B2,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,B3,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,B4,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
12,100011,B1,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,B2,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,B3,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,B4,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
13,100012,B1,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,B2,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,B3,200,159,0,41,41,0,0.79500000000000004,162816,707.52629702921388
13,100012,B4,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
14,100013,B1,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
14,100013,B2,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
14,100013,B3,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
14,100013,B4,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
15,100014,B1,200,170,0,30,30,0,0.84999999999999998,174080,801.48616326220383
15,100014,B2,200,170,0,30,30,0,0.84999999999999998,174080,801.48616326220383
15,100014,B3,200,170,0,30,30,0,0.84999999999999998,174080,801.48616326220383
15,100014,B4,200,170,0,30,30,0,0.84999999999999998,174080,801.48616326220383
16,100015,B1,200,188,0,12,12,0,0.93999999999999995,192512,1333.5123992938877
16,100015,B2,200,188,0,12,12,0,0.93999999999999995,192512,1333.5123992938877
16,100015,B3,200,188,0,12,12,0,0.93999999999999995,192512,1333.5123992938877
16,100015,B4,200,188,0,12,12,0,0.93999999999999995,192512,1333.5123992938877
17,100016,B1,200,180,0,20,20,0,0.90000000000000002,184320,428.05510796402666
17,100016,B2,200,180,0,20,20,0,0.90000000000000002,184320,428.05510796402666
17,100016,B3,200,180,0,20,20,0,0.90000000000000002,184320,428.05510796402666
17,100016,B4,200,180,0,20,20,0,0.90000000000000002,184320,428.05510796402666
18,100017,B1,200,197,0,3,3,0,0.98499999999999999,201728,295.2826575098278
18,100017,B2,200,197,0,3,3,0,0.98499999999999999,201728,295.2826575098278
18,100017,B3,200,197,0,3,3,0,0.98499999999999999,201728,295.2826575098278
18,100017,B4,200,197,0,3,3,0,0.98499999999999999,201728,295.2826575098278
19,100018,B1,200,178,0,22,22,0,0.89000000000000001,182272,1077.3091831679437
19,100018,B2,200,178,0,22,22,0,0.89000000000000001,182272,1077.3091831679437
19,100018,B3,200,178,0,22,22,0,0.89000000000000001,182272,1077.3091831679437
19,100018,B4,200,178,0,22,22,0,0.89000000000000001,182272,1077.3091831679437
2,100001,B1,200,162,0,38,38,0,0.81000000000000005,165888,1367.8487442494657
2,100001,B2,200,162,0,38,38,0,0.81000000000000005,165888,1367.8487442494657
2,100001,B3,200,162,0,38,38,0,0.81000000000000005,165888,1367.8487442494657
2,100001,B4,200,162,0,38,38,0,0.81000000000000005,165888,1367.8487442494657
20,100019,B1,200,153,0,47,47,0,0.76500000000000001,156672,1360.5079218814783
20,100019,B2,200,153,0,47,47,0,0.76500000000000001,156672,1360.5079218814783
20,100019,B3,200,153,0,47,47,0,0.76500000000000001,156672,1360.5079218814783
20,100019,B4,200,153,0,47,47,0,0.76500000000000001,156672,1360.5079218814783
21,100020,B1,200,174,0,26,26,0,0.87,178176,1238.7906704173949
21,100020,B2,200,174,0,26,26,0,0.87,178176,1238.7906704173949
21,100020,B3,200,174,0,26,26,0,0.87,178176,1238.7906704173949
21,100020,B4,200,174,0,26,26,0,0.87,178176,1238.7906704173949
22,100021,B1,200,168,0,32,32,0,0.83999999999999997,172032,1152.8818483193829
22,100021,B2,200,168,0,32,32,0,0.83999999999999997,172032,1152.8818483193829
22,100021,B3,200,168,0,32,32,0,0.83999999999999997,172032,1152.8818483193829
22,100021,B4,200,168,0,32,32,0,0.83999999999999997,172032,1152.8818483193829
23,100022,B1,200,175,0,25,25,0,0.875,179200,813.62942800230132
23,100022,B2,200,175,0,25,25,0,0.875,179200,813.62942800230132
23,100022,B3,200,175,0,25,25,0,0.875,179200,813.62942800230132
23,100022,B4,200,175,0,25,25,0,0.875,179200,813.62942800230132
24,100023,B1,200,188,0,12,12,0,0.93999999999999995,192512,823.00884099745372
24,100023,B2,200,188,0,12,12,0,0.93999999999999995,192512,823.00884099745372
24,100023,B3,200,188,0,12,12,0,0.93999999999999995,192512,823.00884099745372
24,100023,B4,200,188,0,12,12,0,0.93999999999999995,192512,823.00884099745372
25,100024,B1,200,168,0,32,32,0,0.83999999999999997,172032,855.08627441203407
25,100024,B2,200,168,0,32,32,0,0.83999999999999997,172032,855.08627441203407
25,100024,B3,200,168,0,32,32,0,0.83999999999999997,172032,855.08627441203407
25,100024,B4,200,168,0,32,32,0,0.83999999999999997,172032,855.08627441203407
26,100025,B1,200,176,0,24,24,0,0.88,180224,1260.0324486885818
26,100025,B2,200,176,0,24,24,0,0.88,180224,1260.0324486885818
26,100025,B3,200,176,0,24,24,0,0.88,180224,1260.0324486885818
26,100025,B4,200,176,0,24,24,0,0.88,180224,1260.0324486885818
27,100026,B1,200,192,0,8,8,0,0.95999999999999996,196608,487.78298658954844
27,100026,B2,200,192,0,8,8,0,0.95999999999999996,196608,487.78298658954844
27,100026,B3,200,184,0,16,16,0,0.92000000000000004,188416,674.19396447215718
27,100026,B4,200,192,0,8,8,0,0.95999999999999996,196608,487.78298658954844
28,100027,B1,200,167,0,33,33,0,0.83499999999999996,171008,1366.8644982619801
28,100027,B2,200,167,0,33,33,0,0.83499999999999996,171008,1366.8644982619801
28,100027,B3,200,167,0,33,33,0,0.83499999999999996,171008,1366.8644982619801
28,100027,B4,200,167,0,33,33,0,0.83499999999999996,171008,1366.8644982619801
29,100028,B1,200,198,0,2,2,0,0.98999999999999999,202752,1312.4418773815266
29,100028,B2,200,198,0,2,2,0,0.98999999999999999,202752,1312.4418773815266
29,100028,B3,200,198,0,2,2,0,0.98999999999999999,202752,1312.4418773815266
29,100028,B4,200,198,0,2,2,0,0.98999999999999999,202752,1312.4418773815266
3,100002,B1,200,177,0,23,23,0,0.88500000000000001,181248,1201.6387451818939
3,100002,B2,200,177,0,23,23,0,0.88500000000000001,181248,1201.6387451818939
3,100002,B3,200,177,0,23,23,0,0.88500000000000001,181248,1201.6387451818939
3,100002,B4,200,177,0,23,23,0,0.88500000000000001,181248,1201.6387451818939
30,100029,B1,200,172,0,28,28,0,0.85999999999999999,176128,999.42141572548724
30,100029,B2,200,172,0,28,28,0,0.85999999999999999,176128,999.42141572548724
