Trial,Seed,Policy,Route_Index,Route_Name,Available,Hop_Count,Contact_Probability,Optical_Packet_Success_Lower_Bound,Physical_End_To_End_Success_Lower_Bound,PAT_s,Propagation_s,Policy_Score,Selected
1,100000,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.851343818,1,0.851343818,60,754.586027,1,1
1,100000,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.724786296,1,0.724786296,120,856.5104434,0.881000381,0
1,100000,B1_Shortest_Delay,2,Earth_Relay1_Mars,0,2,0.724786296,0,0,120,1155.716112,-1,0
1,100000,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.724786296,1,0.724786296,120,760.5184725,0.992199472,0
1,100000,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.851343818,1,0.851343818,60,754.586027,0.851343818,1
1,100000,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.724786296,1,0.724786296,120,856.5104434,0.724786296,0
1,100000,B2_Contact_Aware,2,Earth_Relay1_Mars,0,2,0.724786296,0,0,120,1155.716112,-1,0
1,100000,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.724786296,1,0.724786296,120,760.5184725,0.724786296,0
1,100000,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.851343818,1,0.851343818,60,754.586027,0.851343818,1
1,100000,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.724786296,1,0.724786296,120,856.5104434,0.724786296,0
1,100000,B3_Physical_Success,2,Earth_Relay1_Mars,0,2,0.724786296,0,0,120,1155.716112,-1,0
1,100000,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.724786296,1,0.724786296,120,760.5184725,0.724786296,0
1,100000,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.851343818,1,0.851343818,60,754.586027,0.851343818,1
1,100000,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.724786296,1,0.724786296,120,856.5104434,0.319268501,0
1,100000,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,0,2,0.724786296,0,0,120,1155.716112,-1,0
1,100000,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.724786296,1,0.724786296,120,760.5184725,0.35956629,0
2,100001,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.803926468,0.999979505,0.803909992,60,1307.848734,1,1
2,100001,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.646297767,0.999941882,0.646260205,120,1573.884422,0.830968726,0
2,100001,B1_Shortest_Delay,2,Earth_Relay1_Mars,0,2,0.646297767,0,0,120,1512.636772,-1,0
2,100001,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.646297767,0.999953463,0.64626769,120,1314.514331,0.994929232,0
2,100001,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.803926468,0.999979505,0.803909992,60,1307.848734,0.803926468,1
2,100001,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.646297767,0.999941882,0.646260205,120,1573.884422,0.646297767,0
2,100001,B2_Contact_Aware,2,Earth_Relay1_Mars,0,2,0.646297767,0,0,120,1512.636772,-1,0
2,100001,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.646297767,0.999953463,0.64626769,120,1314.514331,0.646297767,0
2,100001,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.803926468,0.999979505,0.803909992,60,1307.848734,0.803909992,1
2,100001,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.646297767,0.999941882,0.646260205,120,1573.884422,0.646260205,0
2,100001,B3_Physical_Success,2,Earth_Relay1_Mars,0,2,0.646297767,0,0,120,1512.636772,-1,0
2,100001,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.646297767,0.999953463,0.64626769,120,1314.514331,0.64626769,0
2,100001,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.803926468,0.999979505,0.803909992,60,1307.848734,0.803909992,1
2,100001,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.646297767,0.999941882,0.646260205,120,1573.884422,0.26851101,0
2,100001,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,0,2,0.646297767,0,0,120,1512.636772,-1,0
2,100001,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.646297767,0.999953463,0.64626769,120,1314.514331,0.321495308,0
