Trial,Seed,Policy,Selected_Route_Index,Selected_Route_Name,Selected_Score,Selected_Physical_Success_Lower_Bound
1,100000,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.85134381764986822
1,100000,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822
1,100000,B3_Physical_Success,0,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822
1,100000,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822
2,100001,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.80390999235737526
2,100001,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.80392646849118699,0.80390999235737526
2,100001,B3_Physical_Success,0,Direct_Earth_to_Mars,0.80390999235737526,0.80390999235737526
2,100001,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.80390999235737526,0.80390999235737526
3,100002,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.906906293130468
3,100002,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.90690630166538877,0.906906293130468
3,100002,B3_Physical_Success,0,Direct_Earth_to_Mars,0.906906293130468,0.906906293130468
3,100002,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.906906293130468,0.906906293130468
4,100003,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.95800402941669904
4,100003,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.95800402941676843,0.95800402941669904
4,100003,B3_Physical_Success,0,Direct_Earth_to_Mars,0.95800402941669904,0.95800402941669904
4,100003,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.95800402941669904,0.95800402941669904
5,100004,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.85884219693445063
5,100004,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063
5,100004,B3_Physical_Success,0,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063
5,100004,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063
6,100005,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.82124933257242116
6,100005,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.8212493325724588,0.82124933257242116
6,100005,B3_Physical_Success,0,Direct_Earth_to_Mars,0.82124933257242116,0.82124933257242116
6,100005,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.82124933257242116,0.82124933257242116
7,100006,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.95883310778721909
7,100006,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.95888382929065541,0.95883310778721909
7,100006,B3_Physical_Success,0,Direct_Earth_to_Mars,0.95883310778721909,0.95883310778721909
7,100006,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.95883310778721909,0.95883310778721909
8,100007,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.83805862678805021
8,100007,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021
8,100007,B3_Physical_Success,0,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021
8,100007,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021
9,100008,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.86027538192991715
9,100008,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.86027538192991715,0.86027538192991715
9,100008,B3_Physical_Success,0,Direct_Earth_to_Mars,0.86027538192991715,0.86027538192991715
9,100008,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.86027538192991715,0.86027538192991715
10,100009,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.99348423587462797
10,100009,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.99348423587462797,0.99348423587462797
10,100009,B3_Physical_Success,0,Direct_Earth_to_Mars,0.99348423587462797,0.99348423587462797
10,100009,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.99348423587462797,0.99348423587462797
11,100010,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.83139900947724921
11,100010,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.83139900947724921,0.83139900947724921
11,100010,B3_Physical_Success,0,Direct_Earth_to_Mars,0.83139900947724921,0.83139900947724921
11,100010,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.83139900947724921,0.83139900947724921
12,100011,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.82224880112523402
12,100011,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.82224880112523402,0.82224880112523402
12,100011,B3_Physical_Success,0,Direct_Earth_to_Mars,0.82224880112523402,0.82224880112523402
12,100011,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.82224880112523402,0.82224880112523402
13,100012,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.88317605369925789
13,100012,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.88317605369925789,0.88317605369925789
13,100012,B3_Physical_Success,0,Direct_Earth_to_Mars,0.88317605369925789,0.88317605369925789
13,100012,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.88317605369925789,0.88317605369925789
14,100013,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.8315282590537717
14,100013,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.8315362654186651,0.8315282590537717
14,100013,B3_Physical_Success,0,Direct_Earth_to_Mars,0.8315282590537717,0.8315282590537717
14,100013,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.8315282590537717,0.8315282590537717
15,100014,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.87730850210373379
15,100014,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.87730850210373379,0.87730850210373379
15,100014,B3_Physical_Success,0,Direct_Earth_to_Mars,0.87730850210373379,0.87730850210373379
15,100014,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.87730850210373379,0.87730850210373379
16,100015,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.92540198906204252
16,100015,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.92540672241036337,0.92540198906204252
16,100015,B3_Physical_Success,0,Direct_Earth_to_Mars,0.92540198906204252,0.92540198906204252
