Trial,Seed,Dominating_Route,Dominated_Route
1,100000,Direct_Earth_to_Mars,Earth_Relay0_Mars
1,100000,Direct_Earth_to_Mars,Earth_Relay2_Mars
1,100000,Earth_Relay2_Mars,Earth_Relay0_Mars
2,100001,Direct_Earth_to_Mars,Earth_Relay0_Mars
2,100001,Direct_Earth_to_Mars,Earth_Relay2_Mars
2,100001,Earth_Relay2_Mars,Earth_Relay0_Mars
3,100002,Direct_Earth_to_Mars,Earth_Relay0_Mars
3,100002,Direct_Earth_to_Mars,Earth_Relay1_Mars
3,100002,Direct_Earth_to_Mars,Earth_Relay2_Mars
3,100002,Earth_Relay0_Mars,Earth_Relay1_Mars
3,100002,Earth_Relay2_Mars,Earth_Relay1_Mars
4,100003,Direct_Earth_to_Mars,Earth_Relay0_Mars
4,100003,Direct_Earth_to_Mars,Earth_Relay1_Mars
4,100003,Direct_Earth_to_Mars,Earth_Relay2_Mars
4,100003,Earth_Relay0_Mars,Earth_Relay1_Mars
4,100003,Earth_Relay2_Mars,Earth_Relay1_Mars
5,100004,Direct_Earth_to_Mars,Earth_Relay0_Mars
5,100004,Direct_Earth_to_Mars,Earth_Relay1_Mars
5,100004,Direct_Earth_to_Mars,Earth_Relay2_Mars
5,100004,Earth_Relay0_Mars,Earth_Relay1_Mars
5,100004,Earth_Relay2_Mars,Earth_Relay0_Mars
5,100004,Earth_Relay2_Mars,Earth_Relay1_Mars
6,100005,Direct_Earth_to_Mars,Earth_Relay0_Mars
6,100005,Direct_Earth_to_Mars,Earth_Relay1_Mars
6,100005,Direct_Earth_to_Mars,Earth_Relay2_Mars
6,100005,Earth_Relay1_Mars,Earth_Relay0_Mars
6,100005,Earth_Relay2_Mars,Earth_Relay0_Mars
7,100006,Direct_Earth_to_Mars,Earth_Relay0_Mars
7,100006,Direct_Earth_to_Mars,Earth_Relay1_Mars
7,100006,Direct_Earth_to_Mars,Earth_Relay2_Mars
7,100006,Earth_Relay1_Mars,Earth_Relay0_Mars
7,100006,Earth_Relay2_Mars,Earth_Relay0_Mars
8,100007,Direct_Earth_to_Mars,Earth_Relay0_Mars
8,100007,Direct_Earth_to_Mars,Earth_Relay1_Mars
8,100007,Direct_Earth_to_Mars,Earth_Relay2_Mars
8,100007,Earth_Relay1_Mars,Earth_Relay0_Mars
8,100007,Earth_Relay2_Mars,Earth_Relay0_Mars
8,100007,Earth_Relay2_Mars,Earth_Relay1_Mars
9,100008,Direct_Earth_to_Mars,Earth_Relay0_Mars
9,100008,Direct_Earth_to_Mars,Earth_Relay1_Mars
9,100008,Direct_Earth_to_Mars,Earth_Relay2_Mars
9,100008,Earth_Relay0_Mars,Earth_Relay1_Mars
9,100008,Earth_Relay2_Mars,Earth_Relay0_Mars
9,100008,Earth_Relay2_Mars,Earth_Relay1_Mars
10,100009,Direct_Earth_to_Mars,Earth_Relay0_Mars
10,100009,Direct_Earth_to_Mars,Earth_Relay1_Mars
10,100009,Direct_Earth_to_Mars,Earth_Relay2_Mars
10,100009,Earth_Relay0_Mars,Earth_Relay1_Mars
10,100009,Earth_Relay2_Mars,Earth_Relay0_Mars
10,100009,Earth_Relay2_Mars,Earth_Relay1_Mars
11,100010,Direct_Earth_to_Mars,Earth_Relay0_Mars
11,100010,Direct_Earth_to_Mars,Earth_Relay1_Mars
11,100010,Direct_Earth_to_Mars,Earth_Relay2_Mars
11,100010,Earth_Relay0_Mars,Earth_Relay1_Mars
11,100010,Earth_Relay2_Mars,Earth_Relay0_Mars
11,100010,Earth_Relay2_Mars,Earth_Relay1_Mars
12,100011,Direct_Earth_to_Mars,Earth_Relay0_Mars
