Trial,Seed,Scenario,Policy,Selected_Route,Selected_Score,Selected_Physical_Success_Lower,Switched_From_Direct
1,100000,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381764986822,0
1,100000,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0
1,100000,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0
1,100000,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0
1,100000,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381757067401,0
1,100000,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.85134381764986822,0.85134381757067401,0
1,100000,Direct_Pointing_50pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,0.85134381757067401,0.85134381757067401,0
1,100000,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.85134381757067401,0.85134381757067401,0
1,100000,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.84084054978115974,0
1,100000,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.85134381764986822,0.84084054978115974,0
1,100000,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,0.84084054978115974,0.84084054978115974,0
1,100000,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.84084054978115974,0.84084054978115974,0
1,100000,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
1,100000,Direct_Pointing_10pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.85134381764986822,0,0
1,100000,Direct_Pointing_10pct_Power,B3_Physical_Success,Earth_Relay0_Mars,0.72478629585065202,0.72478629585065202,1
1,100000,Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.35956629011814606,0.72478629585065202,1
1,100000,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381764986822,0
1,100000,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0
1,100000,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0
1,100000,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.85134381764986822,0.85134381764986822,0
1,100000,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
1,100000,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.85134381764986822,0,0
1,100000,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,0.72478629585065202,0.72478629585065202,1
1,100000,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.35956629011814606,0.72478629585065202,1
1,100000,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.72478629585065202,1
1,100000,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,0.72478629585065202,0.72478629585065202,1
1,100000,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay0_Mars,0.72478629585065202,0.72478629585065202,1
1,100000,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.72478629585065202,0.72478629585065202,1
2,100001,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.80390999235737526,0
2,100001,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.80392646849118699,0.80390999235737526,0
2,100001,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.80390999235737526,0.80390999235737526,0
2,100001,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.80390999235737526,0.80390999235737526,0
2,100001,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
2,100001,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.80392646849118699,0,0
2,100001,Direct_Pointing_50pct_Power,B3_Physical_Success,Earth_Relay2_Mars,0.64626769017973451,0.64626769017973451,1
2,100001,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.32149530830745848,0.64626769017973451,1
2,100001,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
2,100001,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.80392646849118699,0,0
2,100001,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,0.64626769017973451,0.64626769017973451,1
2,100001,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.32149530830745848,0.64626769017973451,1
2,100001,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
2,100001,Direct_Pointing_10pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.80392646849118699,0,0
2,100001,Direct_Pointing_10pct_Power,B3_Physical_Success,Earth_Relay2_Mars,0.64626769017973451,0.64626769017973451,1
2,100001,Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.32149530830745848,0.64626769017973451,1
2,100001,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.72203836076878247,0
2,100001,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,0.80392646849118699,0.72203836076878247,0
2,100001,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,0.72203836076878247,0.72203836076878247,0
2,100001,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.72203836076878247,0.72203836076878247,0
2,100001,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
2,100001,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.80392646849118699,0,0
2,100001,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay2_Mars,0.64626769017973451,0.64626769017973451,1
2,100001,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.32149530830745848,0.64626769017973451,1
2,100001,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.64626769017973451,1
2,100001,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,0.64629776674071149,0.64626020530839157,1
2,100001,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay2_Mars,0.64626769017973451,0.64626769017973451,1
2,100001,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.64626769017973451,0.64626769017973451,1
3,100002,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.906906293130468,0
3,100002,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.90690630166538877,0.906906293130468,0
3,100002,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.906906293130468,0.906906293130468,0
3,100002,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.906906293130468,0.906906293130468,0
3,100002,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.82460655679677641,0
3,100002,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.90690630166538877,0.82460655679677641,0
3,100002,Direct_Pointing_50pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,0.82460655679677641,0.82460655679677641,0
3,100002,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.82460655679677641,0.82460655679677641,0
3,100002,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
3,100002,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.90690630166538877,0,0
3,100002,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay0_Mars,0.82247903980236903,0.82247903980236903,1
3,100002,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.40890769297086693,0.82247902129384498,1
3,100002,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
3,100002,Direct_Pointing_10pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.90690630166538877,0,0
3,100002,Direct_Pointing_10pct_Power,B3_Physical_Success,Earth_Relay0_Mars,0.82247903980236903,0.82247903980236903,1
3,100002,Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.40890769297086693,0.82247902129384498,1
3,100002,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.90638206434037505,0
3,100002,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,0.90690630166538877,0.90638206434037505,0
3,100002,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,0.90638206434037505,0.90638206434037505,0
3,100002,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.90638206434037505,0.90638206434037505,0
3,100002,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
3,100002,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.90690630166538877,0,0
3,100002,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,0.82247903980236903,0.82247903980236903,1
3,100002,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.40890769297086693,0.82247902129384498,1
3,100002,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.82247902129384498,1
3,100002,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,0.82247904000039318,0.82247903980236903,1
3,100002,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay0_Mars,0.82247903980236903,0.82247903980236903,1
3,100002,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.82247902129384498,0.82247902129384498,1
4,100003,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.95800402941669904,0
4,100003,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.95800402941676843,0.95800402941669904,0
4,100003,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.95800402941669904,0.95800402941669904,0
4,100003,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.95800402941669904,0.95800402941669904,0
4,100003,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.95748707427402591,0
4,100003,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.95800402941676843,0.95748707427402591,0
4,100003,Direct_Pointing_50pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,0.95748707427402591,0.95748707427402591,0
4,100003,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.95748707427402591,0.95748707427402591,0
4,100003,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
4,100003,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.95800402941676843,0,0
4,100003,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay0_Mars,0.91777172037876453,0.91777172037876453,1
4,100003,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.45600402513314248,0.91777172037858812,1
4,100003,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
4,100003,Direct_Pointing_10pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.95800402941676843,0,0
4,100003,Direct_Pointing_10pct_Power,B3_Physical_Success,Earth_Relay0_Mars,0.91777172037876453,0.91777172037876453,1
4,100003,Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.45600402513314248,0.91777172037858812,1
4,100003,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.95800390091705012,0
4,100003,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,0.95800402941676843,0.95800390091705012,0
4,100003,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,0.95800390091705012,0.95800390091705012,0
4,100003,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.95800390091705012,0.95800390091705012,0
4,100003,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
4,100003,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.95800402941676843,0,0
4,100003,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,0.91777172037876453,0.91777172037876453,1
4,100003,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.45600402513314248,0.91777172037858812,1
4,100003,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.91777172037858812,1
4,100003,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,0.91777172037876453,0.91777172037876453,1
4,100003,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay0_Mars,0.91777172037876453,0.91777172037876453,1
4,100003,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.91777172037858812,0.91777172037858812,1
5,100004,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85884219693445063,0
5,100004,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063,0
5,100004,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063,0
5,100004,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063,0
5,100004,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85884219693445063,0
5,100004,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063,0
