Trial,Seed,Scenario,Policy,Route_Name,Available,Contact_Probability,Stressed_Optical_Success_Lower,Physical_Success_Lower,PAT_s,Propagation_s,Policy_Score,Selected
1,100000,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381764986822,1,0.85134381764986822,60,754.58602701757093,1,1
1,100000,Control,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.88100038107247924,0
1,100000,Control,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Control,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.99219947224895533,0
1,100000,Control,B2_Contact_Aware,Direct_Earth_to_Mars,1,0.85134381764986822,1,0.85134381764986822,60,754.58602701757093,0.85134381764986822,1
1,100000,Control,B2_Contact_Aware,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,0
1,100000,Control,B2_Contact_Aware,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Control,B2_Contact_Aware,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Control,B3_Physical_Success,Direct_Earth_to_Mars,1,0.85134381764986822,1,0.85134381764986822,60,754.58602701757093,0.85134381764986822,1
1,100000,Control,B3_Physical_Success,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,0
1,100000,Control,B3_Physical_Success,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Control,B3_Physical_Success,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,0.85134381764986822,1,0.85134381764986822,60,754.58602701757093,0.85134381764986822,1
1,100000,Control,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.31926850142026758,0
1,100000,Control,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Control,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.35956629011814606,0
1,100000,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381764986822,0.99999999990697741,0.85134381757067401,60,754.58602701757093,1,1
1,100000,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.88100038107247924,0
1,100000,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.99219947224895533,0
1,100000,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,1,0.85134381764986822,0.99999999990697741,0.85134381757067401,60,754.58602701757093,0.85134381764986822,1
1,100000,Direct_Pointing_50pct_Power,B2_Contact_Aware,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,0
1,100000,Direct_Pointing_50pct_Power,B2_Contact_Aware,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_50pct_Power,B2_Contact_Aware,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Pointing_50pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,1,0.85134381764986822,0.99999999990697741,0.85134381757067401,60,754.58602701757093,0.85134381757067401,1
1,100000,Direct_Pointing_50pct_Power,B3_Physical_Success,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,0
1,100000,Direct_Pointing_50pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_50pct_Power,B3_Physical_Success,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,0.85134381764986822,0.99999999990697741,0.85134381757067401,60,754.58602701757093,0.85134381757067401,1
1,100000,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.31926850142026758,0
1,100000,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.35956629011814606,0
1,100000,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381764986822,0.98766271904375513,0.84084054978115974,60,754.58602701757093,1,1
1,100000,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.88100038107247924,0
1,100000,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.99219947224895533,0
1,100000,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,1,0.85134381764986822,0.98766271904375513,0.84084054978115974,60,754.58602701757093,0.85134381764986822,1
1,100000,Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,0
1,100000,Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,1,0.85134381764986822,0.98766271904375513,0.84084054978115974,60,754.58602701757093,0.84084054978115974,1
1,100000,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,0
1,100000,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,0.85134381764986822,0.98766271904375513,0.84084054978115974,60,754.58602701757093,0.84084054978115974,1
1,100000,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.31926850142026758,0
1,100000,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.35956629011814606,0
1,100000,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381764986822,0,0,60,754.58602701757093,1,1
1,100000,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.88100038107247924,0
