Scenario,Policy,Worlds,Direct,Relay0,Relay1,Relay2,No_Route,Switch_Rate_From_Direct,Mean_Selected_Physical_Success_Lower
Control,B1_Shortest_Delay,100,100,0,0,0,0,0,0.895742
Control,B2_Contact_Aware,100,100,0,0,0,0,0,0.895742
Control,B3_Physical_Success,100,100,0,0,0,0,0,0.895742
Control,B4_Physical_Multiobjective,100,100,0,0,0,0,0,0.895742
Direct_Background_16,B1_Shortest_Delay,100,100,0,0,0,0,0,0.863212
Direct_Background_16,B2_Contact_Aware,100,100,0,0,0,0,0,0.863212
Direct_Background_16,B3_Physical_Success,100,88,5,7,0,0,0.12,0.87926
Direct_Background_16,B4_Physical_Multiobjective,100,100,0,0,0,0,0,0.863212
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,100,100,0,0,0,0,0,0.264494
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,100,100,0,0,0,0,0,0.264494
Direct_Combined_25pctPower_BG16,B3_Physical_Success,100,29,41,27,3,0,0.71,0.831393
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,100,30,5,3,62,0,0.7,0.829039
Direct_Hard_Obstruction,B1_Shortest_Delay,100,0,5,3,92,0,1,0.805245
Direct_Hard_Obstruction,B2_Contact_Aware,100,0,94,5,1,0,1,0.805236
Direct_Hard_Obstruction,B3_Physical_Success,100,0,69,28,3,0,1,0.805259
Direct_Hard_Obstruction,B4_Physical_Multiobjective,100,0,5,3,92,0,1,0.805245
Direct_Pointing_10pct_Power,B1_Shortest_Delay,100,100,0,0,0,0,0,0.232415
Direct_Pointing_10pct_Power,B2_Contact_Aware,100,100,0,0,0,0,0,0.232415
Direct_Pointing_10pct_Power,B3_Physical_Success,100,22,48,27,3,0,0.78,0.824774
Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,100,28,5,3,64,0,0.72,0.813369
Direct_Pointing_25pct_Power,B1_Shortest_Delay,100,100,0,0,0,0,0,0.400206
Direct_Pointing_25pct_Power,B2_Contact_Aware,100,100,0,0,0,0,0,0.400206
Direct_Pointing_25pct_Power,B3_Physical_Success,100,43,29,25,3,0,0.57,0.842964
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,100,46,5,1,48,0,0.54,0.839717
Direct_Pointing_50pct_Power,B1_Shortest_Delay,100,100,0,0,0,0,0,0.618915
Direct_Pointing_50pct_Power,B2_Contact_Aware,100,100,0,0,0,0,0,0.618915
Direct_Pointing_50pct_Power,B3_Physical_Success,100,61,16,21,2,0,0.39,0.859708
Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,100,69,3,1,27,0,0.31,0.84751
