Trial,Seed,Scenario,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
1,100000,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,166,0,34,34,0,0.82999999999999996,169984,814.58603725757007
1,100000,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,34,166,0,0,0
1,100000,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,34,166,0,0,0
1,100000,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,200,142,0,58,58,0,0.70999999999999996,145408,976.51046386820985
1,100000,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,142,0,58,58,0,0.70999999999999996,145408,880.51849294723161
1,100000,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,164,0,36,34,2,0.81999999999999995,167936,814.58603725757007
1,100000,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,164,0,36,34,2,0.81999999999999995,167936,814.58603725757007
1,100000,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,200,164,0,36,34,2,0.81999999999999995,167936,814.58603725757007
1,100000,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,164,0,36,34,2,0.81999999999999995,167936,814.58603725757007
10,100009,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,199,0,1,1,0,0.995,203776,817.3031980565836
10,100009,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,1,199,0,0,0
