Trial,Seed,Scenario,B1_Route,B4_Route,B1_Reliability,B4_Reliability,Reliability_Difference,B1_Delivered_Bits,B4_Delivered_Bits,Delivered_Bits_Difference,B1_Mean_Latency_s,B4_Mean_Latency_s,Latency_Difference_s,B1_Contact_Failures,B4_Contact_Failures,Contact_Failure_Difference,B1_Optical_Failures,B4_Optical_Failures,Optical_Failure_Difference
1,1000000,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.81499999999999995,0.81499999999999995,0,166912,166912,0,612.90162604064619,612.90162604064619,0,37,37,0,0,0,0
1,1000000,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.81499999999999995,0.81499999999999995,0,166912,166912,0,612.90162604064619,612.90162604064619,0,37,37,0,0,0,0
1,1000000,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.81499999999999995,0.81499999999999995,0,166912,166912,0,612.90162604064619,612.90162604064619,0,37,37,0,0,0,0
1,1000000,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.81499999999999995,0.81499999999999995,0,166912,166912,0,612.90162604064619,612.90162604064619,0,37,37,0,0,0,0
2,1000001,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.84999999999999998,0.84999999999999998,0,174080,174080,0,1168.3930505689273,1168.3930505689273,0,30,30,0,0,0,0
2,1000001,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.84999999999999998,0.84999999999999998,0,174080,174080,0,1168.3930505689273,1168.3930505689273,0,30,30,0,0,0,0
2,1000001,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.71999999999999997,0.71999999999999997,0,147456,147456,0,1234.7622571246548,1234.7622571246548,30,56,26,170,0,-170
2,1000001,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.71999999999999997,0.71999999999999997,0,147456,147456,0,1234.7622571246548,1234.7622571246548,30,56,26,170,0,-170
3,1000002,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.80500000000000005,0.80500000000000005,0,164864,164864,0,1260.3414863366559,1260.3414863366559,0,39,39,0,0,0,0
3,1000002,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.80500000000000005,0.80500000000000005,0,164864,164864,0,1260.3414863366559,1260.3414863366559,0,39,39,0,0,0,0
3,1000002,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.63500000000000001,0.63500000000000001,0,130048,130048,0,1326.8274305394471,1326.8274305394471,39,73,34,161,0,-161
3,1000002,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.63500000000000001,0.63500000000000001,0,130048,130048,0,1326.8274305394471,1326.8274305394471,39,73,34,161,0,-161
4,1000003,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.93000000000000005,0.93000000000000005,0,190464,190464,0,396.29421414935337,396.29421414935337,0,14,14,0,0,0,0
4,1000003,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.93000000000000005,0.93000000000000005,0,190464,190464,0,396.29421414935337,396.29421414935337,0,14,14,0,0,0,0
4,1000003,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.93000000000000005,0.93000000000000005,0,190464,190464,0,396.29421414935337,396.29421414935337,0,14,14,0,0,0,0
4,1000003,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.93000000000000005,0.93000000000000005,0,190464,190464,0,396.29421414935337,396.29421414935337,0,14,14,0,0,0,0
5,1000004,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,452.35711634783956,452.35711634783956,0,26,26,0,0,0,0
5,1000004,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,452.35711634783956,452.35711634783956,0,26,26,0,0,0,0
5,1000004,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,452.35711634783956,452.35711634783956,0,26,26,0,0,0,0
5,1000004,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,452.35711634783956,452.35711634783956,0,26,26,0,0,0,0
6,1000005,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,1366.3916878846667,1366.3916878846667,0,16,16,0,0,0,0
6,1000005,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.90000000000000002,0.90000000000000002,0,184320,184320,0,1366.3916878846667,1366.3916878846667,0,16,16,0,4,4,0
6,1000005,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.88500000000000001,0.88500000000000001,0,181248,181248,0,1433.0471630182017,1433.0471630182017,16,23,7,184,0,-184
6,1000005,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.88500000000000001,0.88500000000000001,0,181248,181248,0,1433.0471630182017,1433.0471630182017,16,23,7,184,0,-184
7,1000006,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.90500000000000003,0.90500000000000003,0,185344,185344,0,1326.3182275210045,1326.3182275210045,0,19,19,0,0,0,0
7,1000006,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,1326.3182275210049,1326.3182275210049,0,19,19,0,16,16,0
7,1000006,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.82499999999999996,0.82499999999999996,0,168960,168960,0,1392.9668621231119,1392.9668621231119,19,35,16,181,0,-181
7,1000006,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.82499999999999996,0.82499999999999996,0,168960,168960,0,1392.9668621231119,1392.9668621231119,19,35,16,181,0,-181
8,1000007,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.83499999999999996,0.83499999999999996,0,171008,171008,0,1272.768661069879,1272.768661069879,0,33,33,0,0,0,0
8,1000007,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82999999999999996,0.82999999999999996,0,169984,169984,0,1272.768661069879,1272.768661069879,0,33,33,0,1,1,0
8,1000007,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.69999999999999996,0.69999999999999996,0,143360,143360,0,1339.2714398287044,1339.2714398287044,33,60,27,167,0,-167
8,1000007,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.69999999999999996,0.69999999999999996,0,143360,143360,0,1339.2714398287044,1339.2714398287044,33,60,27,167,0,-167
