Scenario,Reference_Policy,Comparator_Policy,Comparison_Role,Metric,Higher_Is_Better,N,Reference_Mean,Comparator_Mean,Mean_Paired_Difference,Median_Paired_Difference,SD_Paired_Difference,CI95_Lower,CI95_Upper,Percent_Change_From_Reference,Cohens_Dz,Paired_T,Paired_T_P_Value,Preferred_Wins,Preferred_Losses,Ties,Exact_Sign_Test_P_Value,Significant_At_0_05,Direction
Control,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Reliability,1,1000,0.89845000000000241,0.89845000000000241,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Packets,1,1000,179.69,179.69,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Bits,1,1000,184002.56,184002.56,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Mean_Delivered_Latency_s,0,1000,894.90256737012317,894.90256737012317,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Optical_Failures,0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Reliability,1,1000,0.89845000000000241,0.89845000000000241,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Packets,1,1000,179.69,179.69,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Bits,1,1000,184002.56,184002.56,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Mean_Delivered_Latency_s,0,1000,894.90256737012317,894.90256737012317,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Optical_Failures,0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Reliability,1,1000,0.89845000000000241,0.89845000000000241,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Packets,1,1000,179.69,179.69,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Bits,1,1000,184002.56,184002.56,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Mean_Delivered_Latency_s,0,1000,894.90256737012317,894.90256737012317,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Control,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Optical_Failures,0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Reliability,1,1000,0.88065500000000163,0.88065500000000163,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Packets,1,1000,176.131,176.131,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Bits,1,1000,180358.144,180358.144,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Mean_Delivered_Latency_s,0,1000,894.90256737012317,894.90256737012317,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Optical_Failures,0,1000,3.5590000000000002,3.5590000000000002,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Reliability,1,1000,0.88065500000000163,0.81764500000000129,-0.063009999999999969,0,0.2180507648141487,-0.076541061589405532,-0.049478938410594406,-7.1549017492661537,-0.2889694060633326,-9.138014972662015,3.4587976077454453e-19,4,81,915,1.0997423112559616e-19,1,Comparator_Worse
Direct_Background_16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Packets,1,1000,176.131,163.529,-12.602,0,43.610152962830654,-15.30821231788117,-9.8957876821188311,-7.1549017492661715,-0.28896940606332666,-9.1380149726618285,3.4587976077508817e-19,4,81,915,1.0997423112559616e-19,1,Comparator_Worse
Direct_Background_16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Bits,1,1000,180358.144,167453.696,-12904.448,0,44656.796633938589,-15675.609413510318,-10133.286586489683,-7.1549017492661715,-0.28896940606332666,-9.1380149726618285,3.4587976077508817e-19,4,81,915,1.0997423112559616e-19,1,Comparator_Worse
Direct_Background_16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Mean_Delivered_Latency_s,0,920,855.1074258177058,855.73395043278833,0.62652461508238277,0,9.3886656363704439,0.019111429252993917,1.2339378009117716,0.073268526990426006,0.066732019154597394,2.0240823575174973,0.043250559169201633,0,6,914,0.03125,1,Comparator_Worse
Direct_Background_16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,21.298999999999999,0.98899999999999999,0,4.1940993633281458,0.72873667624761562,1.2492633237523845,4.869522402757263,0.2358074795860817,7.4568872479567734,1.9192062376513921e-13,0,81,919,8.2718061255302767e-25,1,Comparator_Worse
Direct_Background_16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Optical_Failures,0,1000,3.5590000000000002,1.1419999999999999,-2.4169999999999998,0,9.7030541717678638,-3.0191195280623493,-1.8148804719376503,-67.912334925540875,-0.24909682634077582,-7.8771332915627763,8.7073374707840107e-15,85,0,915,5.169878828456423e-26,1,Comparator_Better
Direct_Background_16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Reliability,1,1000,0.88065500000000163,0.88065500000000163,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Packets,1,1000,176.131,176.131,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Bits,1,1000,180358.144,180358.144,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Mean_Delivered_Latency_s,0,1000,894.90256737012317,894.90256737012317,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Background_16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Optical_Failures,0,1000,3.5590000000000002,3.5590000000000002,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Reliability,1,1000,0.4246099999999996,0.4246099999999996,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Packets,1,1000,84.921999999999997,84.921999999999997,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Bits,1,1000,86960.127999999997,86960.127999999997,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Mean_Delivered_Latency_s,0,490,566.30619820357811,566.30619820357811,0,0,0,0,0,0,0,0,1,0,0,490,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Optical_Failures,0,1000,94.768000000000001,94.768000000000001,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Reliability,1,1000,0.4246099999999996,0.67094499999999935,0.246335,0,0.37424678145366591,0.22311125091660411,0.26955874908339589,58.014413226254739,0.65821541348511992,20.814598976424872,3.255549082144268e-80,333,3,664,9.033110791155448e-95,1,Comparator_Better
