Scenario,Policy,Route,Selection_Count,Selection_Percentage,Mean_Selected_Physical_Success_Lower,Mean_Selected_Policy_Score
Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100,0.89964238443911237,1
Control,B1_Shortest_Delay,Earth_Relay0_Mars,0,0,0,0
Control,B1_Shortest_Delay,Earth_Relay1_Mars,0,0,0,0
Control,B1_Shortest_Delay,Earth_Relay2_Mars,0,0,0,0
Control,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100,0.89964238443911237,0.89964682179772504
Control,B2_Contact_Aware,Earth_Relay0_Mars,0,0,0,0
Control,B2_Contact_Aware,Earth_Relay1_Mars,0,0,0,0
Control,B2_Contact_Aware,Earth_Relay2_Mars,0,0,0,0
Control,B3_Physical_Success,Direct_Earth_to_Mars,1000,100,0.89964238443911237,0.89964238443911237
Control,B3_Physical_Success,Earth_Relay0_Mars,0,0,0,0
Control,B3_Physical_Success,Earth_Relay1_Mars,0,0,0,0
Control,B3_Physical_Success,Earth_Relay2_Mars,0,0,0,0
Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1000,100,0.89964238443911237,0.89964238443911237
Control,B4_Physical_Multiobjective,Earth_Relay0_Mars,0,0,0,0
Control,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0,0,0
Control,B4_Physical_Multiobjective,Earth_Relay2_Mars,0,0,0,0
Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100,0.88208885922138791,1
Direct_Background_16,B1_Shortest_Delay,Earth_Relay0_Mars,0,0,0,0
Direct_Background_16,B1_Shortest_Delay,Earth_Relay1_Mars,0,0,0,0
Direct_Background_16,B1_Shortest_Delay,Earth_Relay2_Mars,0,0,0,0
Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100,0.88208885922138791,0.89964682179772504
Direct_Background_16,B2_Contact_Aware,Earth_Relay0_Mars,0,0,0,0
Direct_Background_16,B2_Contact_Aware,Earth_Relay1_Mars,0,0,0,0
Direct_Background_16,B2_Contact_Aware,Earth_Relay2_Mars,0,0,0,0
Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,914,91.400000000000006,0.89032360260599652,0.89032360260599652
Direct_Background_16,B3_Physical_Success,Earth_Relay0_Mars,9,0.90000000000000002,0.8963653318463245,0.8963653318463245
Direct_Background_16,B3_Physical_Success,Earth_Relay1_Mars,72,7.2000000000000002,0.87674217248820119,0.87674217248820119
Direct_Background_16,B3_Physical_Success,Earth_Relay2_Mars,5,0.5,0.84363911429689575,0.84363911429689575
Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1000,100,0.88208885922138791,0.88208885922138791
Direct_Background_16,B4_Physical_Multiobjective,Earth_Relay0_Mars,0,0,0,0
Direct_Background_16,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0,0,0
Direct_Background_16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0,0,0,0
Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100,0.42522141268713309,1
Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,0,0,0,0
Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay1_Mars,0,0,0,0
Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay2_Mars,0,0,0,0
Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100,0.42522141268713309,0.89964682179772504
Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay0_Mars,0,0,0,0
Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay1_Mars,0,0,0,0
Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay2_Mars,0,0,0,0
Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,443,44.299999999999997,0.89120181918106289,0.89120181918106289
Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay0_Mars,235,23.5,0.82100266633500385,0.82100266633500385
Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,272,27.199999999999999,0.82246827099649367,0.82246827099649367
Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,50,5,0.80143774626896302,0.80143774626896302
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,482,48.200000000000003,0.87819760932171564,0.87819760932171564
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay0_Mars,13,1.3,0.81631394394223145,0.35183738900210881
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay1_Mars,21,2.1000000000000001,0.83866723543192401,0.36420945453684805
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,484,48.399999999999999,0.81664988948514039,0.40600750306032996
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100,0.32334166599454883,1
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay0_Mars,0,0,0,0
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay1_Mars,0,0,0,0
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay2_Mars,0,0,0,0
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100,0.32334166599454883,0.89964682179772504
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay0_Mars,0,0,0,0
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay1_Mars,0,0,0,0
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay2_Mars,0,0,0,0
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,341,34.100000000000001,0.89158297834746203,0.89158297834746203
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,324,32.399999999999999,0.81160396416268854,0.81160396416268854
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay1_Mars,285,28.5,0.82415184213270698,0.82415184213270698
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay2_Mars,50,5,0.80143774626896302,0.80143774626896302
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,367,36.700000000000003,0.8728444268045169,0.8728444268045169
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay0_Mars,20,2,0.79587457265486727,0.33819481319101097
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay1_Mars,29,2.8999999999999999,0.82592086981558077,0.35416528244501211
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,584,58.399999999999999,0.81760337432848595,0.40633894798106657
