Scenario,Policy,Metric,N,Mean,SD,Minimum,Median,Maximum
Control,B1_Shortest_Delay,Reliability,1000,0.89845000000000241,0.060104576032612066,0.76000000000000001,0.90000000000000002,1
Control,B1_Shortest_Delay,Delivered_Packets,1000,179.69,12.020915206522432,152,180,200
Control,B1_Shortest_Delay,Delivered_Bits,1000,184002.56,12309.41717147897,155648,184320,204800
Control,B1_Shortest_Delay,Mean_Delivered_Latency_s,1000,894.90256737012317,365.39212080573395,284.76498531353525,964.39414747289743,1367.9088827994342
Control,B1_Shortest_Delay,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Control,B1_Shortest_Delay,Optical_Failures,1000,0,0,0,0,0
Control,B2_Contact_Aware,Reliability,1000,0.89845000000000241,0.060104576032612066,0.76000000000000001,0.90000000000000002,1
Control,B2_Contact_Aware,Delivered_Packets,1000,179.69,12.020915206522432,152,180,200
Control,B2_Contact_Aware,Delivered_Bits,1000,184002.56,12309.41717147897,155648,184320,204800
Control,B2_Contact_Aware,Mean_Delivered_Latency_s,1000,894.90256737012317,365.39212080573395,284.76498531353525,964.39414747289743,1367.9088827994342
Control,B2_Contact_Aware,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Control,B2_Contact_Aware,Optical_Failures,1000,0,0,0,0,0
Control,B3_Physical_Success,Reliability,1000,0.89845000000000241,0.060104576032612066,0.76000000000000001,0.90000000000000002,1
Control,B3_Physical_Success,Delivered_Packets,1000,179.69,12.020915206522432,152,180,200
Control,B3_Physical_Success,Delivered_Bits,1000,184002.56,12309.41717147897,155648,184320,204800
Control,B3_Physical_Success,Mean_Delivered_Latency_s,1000,894.90256737012317,365.39212080573395,284.76498531353525,964.39414747289743,1367.9088827994342
Control,B3_Physical_Success,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Control,B3_Physical_Success,Optical_Failures,1000,0,0,0,0,0
Control,B4_Physical_Multiobjective,Reliability,1000,0.89845000000000241,0.060104576032612066,0.76000000000000001,0.90000000000000002,1
Control,B4_Physical_Multiobjective,Delivered_Packets,1000,179.69,12.020915206522432,152,180,200
Control,B4_Physical_Multiobjective,Delivered_Bits,1000,184002.56,12309.41717147897,155648,184320,204800
Control,B4_Physical_Multiobjective,Mean_Delivered_Latency_s,1000,894.90256737012317,365.39212080573395,284.76498531353525,964.39414747289743,1367.9088827994342
Control,B4_Physical_Multiobjective,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Control,B4_Physical_Multiobjective,Optical_Failures,1000,0,0,0,0,0
Direct_Background_16,B1_Shortest_Delay,Reliability,1000,0.88065500000000163,0.077500014369206643,0.46500000000000002,0.88500000000000001,1
Direct_Background_16,B1_Shortest_Delay,Delivered_Packets,1000,176.131,15.500002873841309,93,177,200
Direct_Background_16,B1_Shortest_Delay,Delivered_Bits,1000,180358.144,15872.0029428135,95232,181248,204800
Direct_Background_16,B1_Shortest_Delay,Mean_Delivered_Latency_s,1000,894.90256737012317,365.3921208057339,284.76498531353525,964.39414747289743,1367.9088827994312
Direct_Background_16,B1_Shortest_Delay,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Direct_Background_16,B1_Shortest_Delay,Optical_Failures,1000,3.5590000000000002,10.112704177705576,0,0,84
Direct_Background_16,B2_Contact_Aware,Reliability,1000,0.88065500000000163,0.077500014369206643,0.46500000000000002,0.88500000000000001,1
Direct_Background_16,B2_Contact_Aware,Delivered_Packets,1000,176.131,15.500002873841309,93,177,200
Direct_Background_16,B2_Contact_Aware,Delivered_Bits,1000,180358.144,15872.0029428135,95232,181248,204800
Direct_Background_16,B2_Contact_Aware,Mean_Delivered_Latency_s,1000,894.90256737012317,365.3921208057339,284.76498531353525,964.39414747289743,1367.9088827994312
Direct_Background_16,B2_Contact_Aware,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Direct_Background_16,B2_Contact_Aware,Optical_Failures,1000,3.5590000000000002,10.112704177705576,0,0,84
Direct_Background_16,B3_Physical_Success,Reliability,1000,0.81764500000000129,0.24927668932903244,0,0.88,1
