Condition,Policy,Route,Selection_Count,Selection_Percentage
NoRelay2__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
NoRelay2__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
NoRelay2__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
NoRelay2__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
NoRelay2__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
NoRelay2__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
NoRelay2__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
NoRelay2__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
NoRelay2__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,349,34.9
NoRelay2__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,352,35.2
NoRelay2__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay1_Mars,299,29.9
NoRelay2__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay2_Mars,0,0.0
NoRelay2__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,376,37.6
NoRelay2__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay0_Mars,291,29.1
NoRelay2__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay1_Mars,333,33.3
NoRelay2__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
NoRelay2__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
NoRelay2__Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,451,45.1
NoRelay2__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay0_Mars,263,26.3
NoRelay2__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,286,28.6
NoRelay2__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,0,0.0
NoRelay2__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,491,49.1
NoRelay2__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay0_Mars,231,23.1
NoRelay2__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay1_Mars,278,27.8
NoRelay2__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0,0.0
