Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,2,1000001,B3_Physical_Success,Earth_Relay0_Mars,200,0,144,56,56,0,0,0,0
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,2,1000001,B4_Physical_Multiobjective,Earth_Relay0_Mars,200,0,144,56,56,0,0,0,0
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,2,1000001,B3_Physical_Success,Earth_Relay0_Mars,200,0,144,56,56,0,0,0,0
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,2,1000001,B4_Physical_Multiobjective,Earth_Relay0_Mars,200,0,144,56,56,0,0,0,0
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1491.7558628611152
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,3,1000002,B4_Physical_Multiobjective,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1491.7558628611152
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1491.7558628611152
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,3,1000002,B4_Physical_Multiobjective,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1491.7558628611152
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,5,1000004,B1_Shortest_Delay,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,5,1000004,B2_Contact_Aware,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,5,1000004,B3_Physical_Success,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
NoRelay2__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,Relay2_Enabled,0,5,1000004,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,5,1000004,B1_Shortest_Delay,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
NoRelay2__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,Relay2_Enabled,0,5,1000004,B2_Contact_Aware,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
