Condition,Metric,Reference_Policy,Comparator_Policy,Interpretation,Excluded_Worlds,N,Reference_Mean,Comparator_Mean,Mean_Paired_Difference,Median_Paired_Difference,SD_Paired_Difference,CI95_Lower,CI95_Upper,Cohens_Dz,Preferred_Wins,Preferred_Losses,Ties,Exact_Sign_Test_P_Value
PAT120__Direct_Combined_25pctPower_BG16,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.32249500000000003,0.68701,0.364515,0.0,0.40916470464903315,0.3391244128773466,0.38990558712265333,0.8908759623161238,451,0,549,3.4395525670743494e-136
PAT120__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,620,380,543.3908691762447,549.6420755002962,6.251206324051409,0.0,38.06575718417767,2.411660474791349,10.090752173311468,0.16422125255004177,0,14,366,0.0001220703125
PAT120__Direct_Combined_25pctPower_BG16,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.5855549999999999,0.68701,0.101455,0.0,0.2785250153202745,0.08417121773096527,0.11873878226903474,0.3642581255523401,133,24,843,1.6913749317532664e-19
PAT120__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,314,686,904.6632827538201,833.409983008813,-71.25329974500704,0.0,103.61113647161056,-79.0204285052246,-63.48617098478949,-0.6876992394010699,285,0,401,3.217223493417518e-86
PAT120__Direct_Pointing_25pct_Power,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.42461,0.6965549999999999,0.271945,0.0,0.3875440392489057,0.24789607647211478,0.2959939235278852,0.7017137988421993,336,0,664,1.4287342391028437e-101
PAT120__Direct_Pointing_25pct_Power,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,510,490,626.3061982035777,628.6213871049188,2.3151889013410765,0.0,18.756947946639624,0.6502876934523529,3.9800901092298,0.12343100316359576,0,8,482,0.0078125
PAT120__Direct_Pointing_25pct_Power,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.595315,0.6965549999999999,0.10124,0.0,0.2782566066405956,0.08397287374720622,0.11850712625279378,0.3638368239384323,134,35,831,7.44856535606066e-15
PAT120__Direct_Pointing_25pct_Power,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,313,687,856.7434142834023,809.0102111426484,-47.73320314075405,0.0,87.74270919321425,-54.3059616487277,-41.1604446327804,-0.5440133269152075,195,0,492,3.982729777831131e-59
PAT30__Direct_Combined_25pctPower_BG16,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.32249500000000003,0.824915,0.50242,0.705,0.4028626216117498,0.4774204866591128,0.5274195133408872,1.2471248833906374,620,0,380,4.5965573598916705e-187
PAT30__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,620,380,453.39086917624473,456.32628602661197,2.93541685036721,0.0,25.50618639668684,0.36270637895805,5.50812732177637,0.11508646587592217,0,14,366,0.0001220703125
PAT30__Direct_Combined_25pctPower_BG16,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.6999249999999999,0.824915,0.12498999999999999,0.0,0.30420073633702466,0.10611291893464818,0.1438670810653518,0.4108800047792235,161,24,815,4.184848753503772e-26
