Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,672.90162604064642
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,582.90162604064597
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,582.90162604064597
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,582.90162604064597
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,582.90162604064597
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,582.90162604064597
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,582.90162604064597
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,582.90162604064597
