Condition,Metric,Reference_Policy,Comparator_Policy,Interpretation,Excluded_Worlds,N,Reference_Mean,Comparator_Mean,Mean_Paired_Difference,Median_Paired_Difference,SD_Paired_Difference,CI95_Lower,CI95_Upper,Cohens_Dz,Preferred_Wins,Preferred_Losses,Ties,Exact_Sign_Test_P_Value
PointingFactor0.250000,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.42461,0.831255,0.406645,0.46499999999999997,0.4131123100995125,0.3810094454620799,0.4322805545379201,0.9843449107145835,501,0,499,3.054936363499605e-151
PointingFactor0.250000,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,510,490,566.3061982035777,567.6417952681841,1.3355970646063802,0.0,11.658112313064713,0.300801567655548,2.370392561557212,0.11456375000862169,0,8,482,0.0078125
PointingFactor0.250000,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.670945,0.831255,0.16031,0.0,0.3338350636912632,0.13959397006647925,0.18102602993352077,0.4802071964143876,206,35,759,1.1524598892964705e-30
PointingFactor0.250000,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,220,780,855.3871961985438,800.1503829585921,-55.23681323995179,0.0,82.53653811579329,-61.03807319435614,-49.43555328554745,-0.669240732661433,271,0,509,5.271098971615262e-82
PointingFactor0.500000,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.69413,0.848015,0.153885,0.0,0.3136570779331108,0.134421108629583,0.17334889137041698,0.49061542310490075,202,1,797,3.1737377917091823e-59
PointingFactor0.500000,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,165,835,805.1385146742826,809.1256077493947,3.987093075112044,0.0,15.807622085067884,2.9133456849268997,5.060840465297188,0.25222598653078326,0,50,785,1.7763568394002505e-15
PointingFactor0.500000,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.692735,0.848015,0.15528,0.0,0.32888354471755804,0.13487123501984116,0.17568876498015884,0.4721428070636764,207,57,736,3.5866017372023e-21
PointingFactor0.500000,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,219,781,791.471455480115,774.4915322827072,-16.97992319740777,0.0,59.62403870887234,-21.168036147928742,-12.7918102468868,-0.28478317747504545,61,0,720,8.673617379884035e-19
PointingFactor0.750000,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,No_Change,,1000,0.897045,0.897045,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
PointingFactor0.750000,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,0,1000,894.9025673701238,894.9025673701238,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
PointingFactor0.750000,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.88635,0.897045,0.010695,0.0,0.10148098524041518,0.004397629362301348,0.01699237063769865,0.10538920148107388,11,0,989,0.0009765625
PointingFactor0.750000,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,11,989,889.8703046511517,889.8029183126907,-0.06738633846095399,0.0,2.1191905309460335,-0.1996231301945666,0.06485045327265862,-0.03179815003744466,1,0,988,1.0
PointingFactor1.000000,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,No_Change,,1000,0.8984500000000001,0.8984500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
PointingFactor1.000000,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,0,1000,894.9025673701238,894.9025673701238,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
PointingFactor1.000000,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.8984500000000001,0.8984500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
PointingFactor1.000000,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,0,1000,894.9025673701238,894.9025673701238,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
