Condition,Policy,Route,Selection_Count,Selection_Percentage
PointingFactor0.250000,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
PointingFactor0.250000,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
PointingFactor0.250000,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
PointingFactor0.250000,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
PointingFactor0.250000,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
PointingFactor0.250000,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
PointingFactor0.250000,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
PointingFactor0.250000,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
PointingFactor0.250000,B3_Physical_Success,Direct_Earth_to_Mars,443,44.3
PointingFactor0.250000,B3_Physical_Success,Earth_Relay0_Mars,235,23.5
PointingFactor0.250000,B3_Physical_Success,Earth_Relay1_Mars,272,27.2
PointingFactor0.250000,B3_Physical_Success,Earth_Relay2_Mars,50,5.0
PointingFactor0.250000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,482,48.2
PointingFactor0.250000,B4_Physical_Multiobjective,Earth_Relay0_Mars,13,1.3
PointingFactor0.250000,B4_Physical_Multiobjective,Earth_Relay1_Mars,21,2.1
PointingFactor0.250000,B4_Physical_Multiobjective,Earth_Relay2_Mars,484,48.4
PointingFactor0.500000,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
PointingFactor0.500000,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
PointingFactor0.500000,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
PointingFactor0.500000,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
PointingFactor0.500000,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
PointingFactor0.500000,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
PointingFactor0.500000,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
PointingFactor0.500000,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
PointingFactor0.500000,B3_Physical_Success,Direct_Earth_to_Mars,698,69.8
PointingFactor0.500000,B3_Physical_Success,Earth_Relay0_Mars,86,8.6
PointingFactor0.500000,B3_Physical_Success,Earth_Relay1_Mars,190,19.0
PointingFactor0.500000,B3_Physical_Success,Earth_Relay2_Mars,26,2.6
PointingFactor0.500000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,785,78.5
PointingFactor0.500000,B4_Physical_Multiobjective,Earth_Relay0_Mars,2,0.2
PointingFactor0.500000,B4_Physical_Multiobjective,Earth_Relay1_Mars,11,1.1
PointingFactor0.500000,B4_Physical_Multiobjective,Earth_Relay2_Mars,202,20.2
PointingFactor0.750000,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
PointingFactor0.750000,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
PointingFactor0.750000,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
PointingFactor0.750000,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
PointingFactor0.750000,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
PointingFactor0.750000,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
PointingFactor0.750000,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
PointingFactor0.750000,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
PointingFactor0.750000,B3_Physical_Success,Direct_Earth_to_Mars,988,98.8
PointingFactor0.750000,B3_Physical_Success,Earth_Relay0_Mars,2,0.2
PointingFactor0.750000,B3_Physical_Success,Earth_Relay1_Mars,9,0.9
PointingFactor0.750000,B3_Physical_Success,Earth_Relay2_Mars,1,0.1
PointingFactor0.750000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1000,100.0
PointingFactor0.750000,B4_Physical_Multiobjective,Earth_Relay0_Mars,0,0.0
PointingFactor0.750000,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.0
PointingFactor0.750000,B4_Physical_Multiobjective,Earth_Relay2_Mars,0,0.0
PointingFactor1.000000,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
PointingFactor1.000000,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
PointingFactor1.000000,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
PointingFactor1.000000,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
PointingFactor1.000000,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
PointingFactor1.000000,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
PointingFactor1.000000,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
PointingFactor1.000000,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
PointingFactor1.000000,B3_Physical_Success,Direct_Earth_to_Mars,1000,100.0
PointingFactor1.000000,B3_Physical_Success,Earth_Relay0_Mars,0,0.0
PointingFactor1.000000,B3_Physical_Success,Earth_Relay1_Mars,0,0.0
PointingFactor1.000000,B3_Physical_Success,Earth_Relay2_Mars,0,0.0
PointingFactor1.000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1000,100.0
PointingFactor1.000000,B4_Physical_Multiobjective,Earth_Relay0_Mars,0,0.0
PointingFactor1.000000,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.0
PointingFactor1.000000,B4_Physical_Multiobjective,Earth_Relay2_Mars,0,0.0
