Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
