Condition,Metric,Reference_Policy,Comparator_Policy,Interpretation,Excluded_Worlds,N,Reference_Mean,Comparator_Mean,Mean_Paired_Difference,Median_Paired_Difference,SD_Paired_Difference,CI95_Lower,CI95_Upper,Cohens_Dz,Preferred_Wins,Preferred_Losses,Ties,Exact_Sign_Test_P_Value
TTL1500__Direct_Combined_25pctPower_BG16,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.32249500000000003,0.82171,0.49921499999999996,0.705,0.40363861672033796,0.4741673325265899,0.5242626674734101,1.2367870152173333,616,0,384,7.354491775826673e-186
TTL1500__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,620,380,483.39086917624473,487.4315491845067,4.040680008261943,0.0,29.200511655356074,1.0953372220899507,6.986022794433936,0.13837702763406154,0,14,366,0.0001220703125
TTL1500__Direct_Combined_25pctPower_BG16,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.6611849999999999,0.82171,0.160525,0.0,0.33402121121950407,0.13979741874013127,0.18125258125986873,0.48058325222499126,205,24,771,5.243792078681324e-37
TTL1500__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,221,779,889.8052623764921,812.8453555799078,-76.95990679658433,0.0,98.31809545670494,-83.87485570892838,-70.04495788424029,-0.7827644182801952,361,0,418,4.257959840008151e-109
TTL1500__Direct_Pointing_25pct_Power,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.42461,0.831255,0.406645,0.46499999999999997,0.4131123100995125,0.3810094454620799,0.4322805545379201,0.9843449107145835,501,0,499,3.054936363499605e-151
TTL1500__Direct_Pointing_25pct_Power,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,510,490,566.3061982035777,567.6417952681841,1.3355970646063802,0.0,11.658112313064713,0.300801567655548,2.370392561557212,0.11456375000862169,0,8,482,0.0078125
TTL1500__Direct_Pointing_25pct_Power,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.670945,0.831255,0.16031,0.0,0.3338350636912632,0.13959397006647925,0.18102602993352077,0.4802071964143876,206,35,759,1.1524598892964705e-30
TTL1500__Direct_Pointing_25pct_Power,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,220,780,855.3871961985438,800.1503829585921,-55.23681323995179,0.0,82.53653811579329,-61.03807319435614,-49.43555328554745,-0.669240732661433,271,0,509,5.271098971615262e-82
TTL3000__Direct_Combined_25pctPower_BG16,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.32249500000000003,0.83582,0.513325,0.71,0.4006245366854037,0.48846437031565654,0.5381856296843435,1.281311934229071,633,0,367,5.611031933461512e-191
TTL3000__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,620,380,483.39086917624473,487.4315491845067,4.040680008261943,0.0,29.200511655356074,1.0953372220899507,6.986022794433936,0.13837702763406154,0,14,366,0.0001220703125
TTL3000__Direct_Combined_25pctPower_BG16,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.840125,0.83582,-0.004305,0.0,0.032671231754930585,-0.006332403016077634,-0.0022775969839223652,-0.13176730012177487,2,25,973,5.647540092468262e-06
TTL3000__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,1,999,1045.3772771979106,945.1630928109147,-100.21418438699601,-120.96278892857583,100.59860925357391,-106.45993070192269,-93.96843807206933,-0.9961786264300245,564,0,435,3.312168642111238e-170
TTL3000__Direct_Pointing_25pct_Power,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.42461,0.845365,0.420755,0.6425000000000001,0.4133432079792561,0.3951051171667371,0.4464048828332629,1.017931326504622,518,0,482,2.3307314785000646e-156
TTL3000__Direct_Pointing_25pct_Power,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,510,490,566.3061982035777,567.6417952681841,1.3355970646063802,0.0,11.658112313064713,0.300801567655548,2.370392561557212,0.11456375000862169,0,8,482,0.0078125
TTL3000__Direct_Pointing_25pct_Power,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.849885,0.845365,-0.00452,0.0,0.029537129888363257,-0.006352917309978897,-0.0026870826900211022,-0.15302773211491832,3,36,961,3.608874976634979e-08
TTL3000__Direct_Pointing_25pct_Power,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,0,1000,1018.3756135642896,935.1286964290574,-83.2469171352322,0.0,93.61433633388742,-89.05612534798306,-77.43770892248133,-0.8892539369004496,474,0,526,4.100266178934991e-143
TTL750__Direct_Combined_25pctPower_BG16,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Reversal,,1000,0.31789,0.316805,-0.001085,0.0,0.01644135314057493,-0.0021052630006616942,-6.473699933830603e-05,-0.06599213524113011,0,5,995,0.0625
TTL750__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,640,360,468.06881949715694,468.06881949715694,0.0,0.0,0.0,0.0,0.0,0.0,0,0,360,1.0
TTL750__Direct_Combined_25pctPower_BG16,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.30336,0.316805,0.013445,0.0,0.09713182571416315,0.007417515089508296,0.019472484910491705,0.13842013059206335,20,0,980,1.9073486328125e-06
TTL750__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,660,340,452.96628992253653,452.96628992253653,0.0,0.0,0.0,0.0,0.0,0.0,0,0,340,1.0
TTL750__Direct_Pointing_25pct_Power,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,No_Change,,1000,0.32644999999999996,0.32644999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
TTL750__Direct_Pointing_25pct_Power,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,635,365,471.7348203374394,471.7348203374394,0.0,0.0,0.0,0.0,0.0,0.0,0,0,365,1.0
TTL750__Direct_Pointing_25pct_Power,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.32644999999999996,0.32644999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1.0
TTL750__Direct_Pointing_25pct_Power,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,635,365,471.7348203374394,471.7348203374394,0.0,0.0,0.0,0.0,0.0,0.0,0,0,365,1.0
