Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,3000,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,3000,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,3000,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL3000__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,3000,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL750__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,750,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
TTL750__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,750,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
