Relay_Count,Trial,Hop_Count,Distance_Per_Hop_m,Transmit_Power_W,Atmosphere_Efficiency,Receiver_Efficiency,Bottleneck_Rate_bps,Weakest_Received_Power_W,Minimum_Photons_Per_Packet,Propagation_Delay_s,Transmission_Delay_s,Processing_Delay_s,Total_Delay_s,Packet_Delivered
0,1,1,5.86954e+07,11.3075,0.886473,0.810419,3.77911e+13,9.68658e-07,1638.4,0.195782,2.16771e-10,0,0.195782,1
0,2,1,5.86954e+07,9.5531,0.947571,0.813596,3.42619e+13,8.78198e-07,1638.4,0.195782,2.391e-10,0,0.195782,1
0,3,1,5.86954e+07,11.3762,0.872243,0.775426,3.57948e+13,9.1749e-07,1638.4,0.195782,2.2886e-10,0,0.195782,1
0,4,1,5.86954e+07,10.1194,0.938355,0.847219,3.74251e+13,9.59277e-07,1638.4,0.195782,2.18891e-10,0,0.195782,1
0,5,1,5.86954e+07,9.2641,0.917517,0.771749,3.05168e+13,7.82205e-07,1638.4,0.195782,2.68442e-10,0,0.195782,1
0,6,1,5.86954e+07,10.4873,0.933462,0.795006,3.62057e+13,9.28023e-07,1638.4,0.195782,2.26263e-10,0,0.195782,1
0,7,1,5.86954e+07,10.552,0.9099,0.841888,3.76034e+13,9.63848e-07,1638.4,0.195782,2.17853e-10,0,0.195782,1
0,8,1,5.86954e+07,9.40534,0.949906,0.781635,3.24867e+13,8.32697e-07,1638.4,0.195782,2.52165e-10,0,0.195782,1
0,9,1,5.86954e+07,11.9907,0.852151,0.760492,3.61493e+13,9.26577e-07,1638.4,0.195782,2.26616e-10,0,0.195782,1
0,10,1,5.86954e+07,8.62531,0.914461,0.830358,3.04685e+13,7.80967e-07,1638.4,0.195782,2.68868e-10,0,0.195782,1
0,11,1,5.86954e+07,8.89311,0.889712,0.807144,2.97098e+13,7.6152e-07,1638.4,0.195782,2.75734e-10,0,0.195782,1
0,12,1,5.86954e+07,10.0418,0.883193,0.785521,3.24093e+13,8.30713e-07,1638.4,0.195782,2.52767e-10,0,0.195782,1
0,13,1,5.86954e+07,9.63642,0.892792,0.846669,3.38864e+13,8.68575e-07,1638.4,0.195782,2.41749e-10,0,0.195782,1
0,14,1,5.86954e+07,9.48865,0.923351,0.767948,3.13004e+13,8.02289e-07,1638.4,0.195782,2.61722e-10,0,0.195782,1
0,15,1,5.86954e+07,10.8077,0.876936,0.767324,3.38319e+13,8.67176e-07,1638.4,0.195782,2.42139e-10,0,0.195782,1
0,16,1,5.86954e+07,10.553,0.884711,0.765688,3.32564e+13,8.52425e-07,1638.4,0.195782,2.46329e-10,0,0.195782,1
0,17,1,5.86954e+07,9.91107,0.913758,0.779577,3.28441e+13,8.41857e-07,1638.4,0.195782,2.49421e-10,0,0.195782,1
0,18,1,5.86954e+07,11.021,0.89904,0.769989,3.5492e+13,9.09728e-07,1638.4,0.195782,2.30813e-10,0,0.195782,1
0,19,1,5.86954e+07,11.6459,0.935999,0.828771,4.20271e+13,1.07724e-06,1638.4,0.195782,1.94922e-10,0,0.195782,1
0,20,1,5.86954e+07,11.567,0.886886,0.849322,4.05329e+13,1.03894e-06,1638.4,0.195782,2.02108e-10,0,0.195782,1
0,21,1,5.86954e+07,10.2332,0.857131,0.797948,3.25596e+13,8.34564e-07,1638.4,0.195782,2.51601e-10,0,0.195782,1
0,22,1,5.86954e+07,9.10954,0.879703,0.764637,2.85058e+13,7.3066e-07,1638.4,0.195782,2.8738e-10,0,0.195782,1
0,23,1,5.86954e+07,9.55131,0.900654,0.79085,3.16491e+13,8.11227e-07,1638.4,0.195782,2.58838e-10,0,0.195782,1
0,24,1,5.86954e+07,11.8922,0.851738,0.771794,3.63678e+13,9.32177e-07,1638.4,0.195782,2.25254e-10,0,0.195782,1
0,25,1,5.86954e+07,8.64424,0.902168,0.789043,2.8626e+13,7.33741e-07,1638.4,0.195782,2.86173e-10,0,0.195782,1
0,26,1,5.86954e+07,9.90591,0.880472,0.760466,3.08557e+13,7.90892e-07,1638.4,0.195782,2.65493e-10,0,0.195782,1
0,27,1,5.86954e+07,11.6116,0.939351,0.75302,3.82095e+13,9.79383e-07,1638.4,0.195782,2.14397e-10,0,0.195782,1
0,28,1,5.86954e+07,11.808,0.913818,0.764568,3.83795e+13,9.8374e-07,1638.4,0.195782,2.13447e-10,0,0.195782,1
0,29,1,5.86954e+07,8.35719,0.891897,0.822324,2.85144e+13,7.3088e-07,1638.4,0.195782,2.87293e-10,0,0.195782,1
0,30,1,5.86954e+07,10.6646,0.871576,0.818603,3.53973e+13,9.07302e-07,1638.4,0.195782,2.3143e-10,0,0.195782,1
0,31,1,5.86954e+07,10.188,0.94062,0.821711,3.66325e+13,9.38963e-07,1638.4,0.195782,2.23626e-10,0,0.195782,1
0,32,1,5.86954e+07,9.8823,0.919893,0.844754,3.5725e+13,9.157e-07,1638.4,0.195782,2.29307e-10,0,0.195782,1
0,33,1,5.86954e+07,9.93994,0.874064,0.7788,3.14774e+13,8.06828e-07,1638.4,0.195782,2.6025e-10,0,0.195782,1
0,34,1,5.86954e+07,9.00695,0.856819,0.828068,2.97289e+13,7.62009e-07,1638.4,0.195782,2.75557e-10,0,0.195782,1
0,35,1,5.86954e+07,11.1383,0.882855,0.818679,3.74513e+13,9.59949e-07,1638.4,0.195782,2.18738e-10,0,0.195782,1
0,36,1,5.86954e+07,10.706,0.921914,0.815418,3.74406e+13,9.59674e-07,1638.4,0.195782,2.188e-10,0,0.195782,1
0,37,1,5.86954e+07,9.43872,0.937768,0.773076,3.1833e+13,8.1594e-07,1638.4,0.195782,2.57343e-10,0,0.195782,1
0,38,1,5.86954e+07,10.6569,0.939623,0.777587,3.62227e+13,9.28457e-07,1638.4,0.195782,2.26157e-10,0,0.195782,1
0,39,1,5.86954e+07,9.93502,0.949398,0.826297,3.62576e+13,9.29353e-07,1638.4,0.195782,2.25939e-10,0,0.195782,1
0,40,1,5.86954e+07,8.29538,0.893619,0.75743,2.61202e+13,6.69512e-07,1638.4,0.195782,3.13626e-10,0,0.195782,1
0,41,1,5.86954e+07,8.30327,0.861727,0.834008,2.7761e+13,7.11569e-07,1638.4,0.195782,2.9509e-10,0,0.195782,1
0,42,1,5.86954e+07,11.0478,0.862562,0.750012,3.3249e+13,8.52236e-07,1638.4,0.195782,2.46383e-10,0,0.195782,1
0,43,1,5.86954e+07,11.259,0.920298,0.846905,4.08235e+13,1.04638e-06,1638.4,0.195782,2.00669e-10,0,0.195782,1
0,44,1,5.86954e+07,10.5743,0.941542,0.777292,3.60016e+13,9.22789e-07,1638.4,0.195782,2.27546e-10,0,0.195782,1
0,45,1,5.86954e+07,10.5478,0.947056,0.756548,3.51576e+13,9.01158e-07,1638.4,0.195782,2.33008e-10,0,0.195782,1
0,46,1,5.86954e+07,10.4036,0.945749,0.843637,3.86155e+13,9.8979e-07,1638.4,0.195782,2.12143e-10,0,0.195782,1
0,47,1,5.86954e+07,11.9639,0.942159,0.84128,4.41147e+13,1.13074e-06,1638.4,0.195782,1.85698e-10,0,0.195782,1
0,48,1,5.86954e+07,10.7722,0.948093,0.813054,3.86297e+13,9.90155e-07,1638.4,0.195782,2.12065e-10,0,0.195782,1
0,49,1,5.86954e+07,10.5123,0.892703,0.841714,3.67464e+13,9.41881e-07,1638.4,0.195782,2.22933e-10,0,0.195782,1
0,50,1,5.86954e+07,8.43118,0.946754,0.846813,3.14456e+13,8.06011e-07,1638.4,0.195782,2.60514e-10,0,0.195782,1
